指标,地区,时间,数值
上市公司总资产（亿元）,湖北,2006.0,1707.85
上市公司总资产（亿元）,湖南,2006.0,1314.13
上市公司总资产（亿元）,广东,2006.0,3256.63
上市公司总资产（亿元）,广西,2006.0,456.22
上市公司总资产（亿元）,海南,2006.0,624.78
上市公司总资产（亿元）,重庆,2006.0,655.78
上市公司总资产（亿元）,四川,2006.0,1482.94
上市公司总资产（亿元）,贵州,2006.0,317.43
上市公司总资产（亿元）,云南,2006.0,591.78
上市公司总资产（亿元）,西藏,2006.0,58.28
上市公司总资产（亿元）,陕西,2006.0,294.68
上市公司总资产（亿元）,甘肃,2006.0,526.43
上市公司总资产（亿元）,青海,2006.0,187.84
上市公司总资产（亿元）,宁夏,2006.0,166.14
上市公司总资产（亿元）,新疆,2006.0,748.76
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,北京,2006.0,13781.53
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,天津,2006.0,297.36
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河北,2006.0,499.1
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山西,2006.0,828.09
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,内蒙古,2006.0,332.78
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,辽宁,2006.0,973.4
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,吉林,2006.0,321.19
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,黑龙江,2006.0,269.65
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,上海,2006.0,4434.4
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江苏,2006.0,1052.45
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,浙江,2006.0,797.43
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,安徽,2006.0,668.24
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,福建,2006.0,335.16
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江西,2006.0,355.28
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山东,2006.0,1402.42
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河南,2006.0,444.95
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖北,2006.0,706.57
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖南,2006.0,436.71
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广东,2006.0,1028.63
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广西,2006.0,175.22
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,海南,2006.0,203.92
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,重庆,2006.0,174.57
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,四川,2006.0,604.3
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,贵州,2006.0,170.23
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,云南,2006.0,216.03
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,西藏,2006.0,21.86
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,陕西,2006.0,139.48
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,甘肃,2006.0,193.66
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,青海,2006.0,52.31
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,宁夏,2006.0,44.36
上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,新疆,2006.0,241.74
上市公司净利润（亿元）,北京,2006.0,1679.52
上市公司净利润（亿元）,天津,2006.0,15.6
上市公司净利润（亿元）,河北,2006.0,-2.23
上市公司净利润（亿元）,山西,2006.0,114.47
上市公司净利润（亿元）,内蒙古,2006.0,29.14
上市公司净利润（亿元）,辽宁,2006.0,122.51
上市公司净利润（亿元）,吉林,2006.0,14.61
上市公司净利润（亿元）,黑龙江,2006.0,2.84
上市公司净利润（亿元）,上海,2006.0,402.51
上市公司净利润（亿元）,江苏,2006.0,74.23
上市公司净利润（亿元）,浙江,2006.0,68.68
上市公司净利润（亿元）,安徽,2006.0,66.78
上市公司净利润（亿元）,福建,2006.0,20.2
上市公司净利润（亿元）,江西,2006.0,67.84
上市公司净利润（亿元）,山东,2006.0,127.26
上市公司净利润（亿元）,河南,2006.0,33.14
上市公司净利润（亿元）,湖北,2006.0,66.1
上市公司净利润（亿元）,湖南,2006.0,36.1
上市公司净利润（亿元）,广东,2006.0,58.28
上市公司净利润（亿元）,广西,2006.0,10.34
上市公司净利润（亿元）,海南,2006.0,4.38
上市公司净利润（亿元）,重庆,2006.0,-1.43
上市公司净利润（亿元）,四川,2006.0,40.92
上市公司净利润（亿元）,贵州,2006.0,18.51
上市公司净利润（亿元）,云南,2006.0,42.18
上市公司净利润（亿元）,西藏,2006.0,0.99
上市公司净利润（亿元）,陕西,2006.0,1.55
上市公司净利润（亿元）,甘肃,2006.0,9.71
上市公司净利润（亿元）,青海,2006.0,4.43
上市公司净利润（亿元）,宁夏,2006.0,0.96
上市公司净利润（亿元）,新疆,2006.0,12.5
上市公司资产负债率（%）,北京,2006.0,90.93
上市公司资产负债率（%）,天津,2006.0,60.14
上市公司资产负债率（%）,河北,2006.0,66.16
上市公司资产负债率（%）,山西,2006.0,50.1
上市公司资产负债率（%）,内蒙古,2006.0,63.5
上市公司资产负债率（%）,辽宁,2006.0,59.2
上市公司资产负债率（%）,吉林,2006.0,53.32
上市公司资产负债率（%）,黑龙江,2006.0,63.07
上市公司资产负债率（%）,上海,2006.0,73.73
上市公司资产负债率（%）,江苏,2006.0,59.35
上市公司资产负债率（%）,浙江,2006.0,61.88
上市公司资产负债率（%）,安徽,2006.0,59.03
上市公司资产负债率（%）,福建,2006.0,67.2
上市公司资产负债率（%）,江西,2006.0,56.35
上市公司资产负债率（%）,山东,2006.0,57.93
上市公司资产负债率（%）,河南,2006.0,57.36
上市公司资产负债率（%）,湖北,2006.0,58.63
上市公司资产负债率（%）,湖南,2006.0,66.77
上市公司资产负债率（%）,广东,2006.0,68.41
上市公司资产负债率（%）,广西,2006.0,61.59
上市公司资产负债率（%）,海南,2006.0,67.36
上市公司资产负债率（%）,重庆,2006.0,73.38
上市公司资产负债率（%）,四川,2006.0,59.25
上市公司资产负债率（%）,贵州,2006.0,46.37
上市公司资产负债率（%）,云南,2006.0,63.49
上市公司资产负债率（%）,西藏,2006.0,62.5
上市公司资产负债率（%）,陕西,2006.0,52.67
上市公司资产负债率（%）,甘肃,2006.0,63.21
上市公司资产负债率（%）,青海,2006.0,72.15
上市公司资产负债率（%）,宁夏,2006.0,73.3
上市公司资产负债率（%）,新疆,2006.0,67.71
上市公司平均净资产收益率（%）,北京,2006.0,12.19
上市公司平均净资产收益率（%）,天津,2006.0,5.25
上市公司平均净资产收益率（%）,河北,2006.0,-0.45
上市公司平均净资产收益率（%）,山西,2006.0,13.82
上市公司平均净资产收益率（%）,内蒙古,2006.0,8.76
上市公司平均净资产收益率（%）,辽宁,2006.0,12.59
上市公司平均净资产收益率（%）,吉林,2006.0,4.55
上市公司平均净资产收益率（%）,黑龙江,2006.0,1.05
上市公司平均净资产收益率（%）,上海,2006.0,9.08
上市公司平均净资产收益率（%）,江苏,2006.0,7.05
上市公司平均净资产收益率（%）,浙江,2006.0,8.61
上市公司平均净资产收益率（%）,安徽,2006.0,9.99
上市公司平均净资产收益率（%）,福建,2006.0,6.03
上市公司平均净资产收益率（%）,江西,2006.0,19.1
上市公司平均净资产收益率（%）,山东,2006.0,9.07
上市公司平均净资产收益率（%）,河南,2006.0,7.45
上市公司平均净资产收益率（%）,湖北,2006.0,9.35
上市公司平均净资产收益率（%）,湖南,2006.0,8.27
上市公司平均净资产收益率（%）,广东,2006.0,5.67
上市公司平均净资产收益率（%）,广西,2006.0,5.9
上市公司平均净资产收益率（%）,海南,2006.0,2.15
上市公司平均净资产收益率（%）,重庆,2006.0,-0.82
上市公司平均净资产收益率（%）,四川,2006.0,6.77
上市公司平均净资产收益率（%）,贵州,2006.0,10.87
上市公司平均净资产收益率（%）,云南,2006.0,19.53
上市公司平均净资产收益率（%）,西藏,2006.0,4.53
上市公司平均净资产收益率（%）,陕西,2006.0,1.11
上市公司平均净资产收益率（%）,甘肃,2006.0,5.01
上市公司平均净资产收益率（%）,青海,2006.0,8.47
上市公司平均净资产收益率（%）,宁夏,2006.0,2.15
上市公司平均净资产收益率（%）,新疆,2006.0,5.17
上市公司每股净资产（元）,北京,2006.0,1.78
上市公司每股净资产（元）,天津,2006.0,2.11
上市公司每股净资产（元）,河北,2006.0,2.49
上市公司每股净资产（元）,山西,2006.0,3.19
上市公司每股净资产（元）,内蒙古,2006.0,2.77
上市公司每股净资产（元）,辽宁,2006.0,3.47
上市公司每股净资产（元）,吉林,2006.0,2.76
上市公司每股净资产（元）,黑龙江,2006.0,2.25
上市公司每股净资产（元）,上海,2006.0,2.65
上市公司每股净资产（元）,江苏,2006.0,2.61
上市公司每股净资产（元）,浙江,2006.0,2.58
上市公司每股净资产（元）,安徽,2006.0,2.99
上市公司每股净资产（元）,福建,2006.0,2.07
上市公司每股净资产（元）,江西,2006.0,3.26
上市公司每股净资产（元）,山东,2006.0,2.94
上市公司每股净资产（元）,河南,2006.0,2.97
上市公司每股净资产（元）,湖北,2006.0,2.58
上市公司每股净资产（元）,湖南,2006.0,3.09
上市公司每股净资产（元）,广东,2006.0,2.57
上市公司每股净资产（元）,广西,2006.0,2.61
上市公司每股净资产（元）,海南,2006.0,1.63
上市公司每股净资产（元）,重庆,2006.0,2.03
上市公司每股净资产（元）,四川,2006.0,2.56
上市公司每股净资产（元）,贵州,2006.0,3.77
上市公司每股净资产（元）,云南,2006.0,3.24
上市公司每股净资产（元）,西藏,2006.0,1.54
上市公司每股净资产（元）,陕西,2006.0,2.1
上市公司每股净资产（元）,甘肃,2006.0,2.81
上市公司每股净资产（元）,青海,2006.0,1.87
上市公司每股净资产（元）,宁夏,2006.0,1.77
上市公司每股净资产（元）,新疆,2006.0,2.38
上市公司每股收益（元）,北京,2006.0,0.22
上市公司每股收益（元）,天津,2006.0,0.11
上市公司每股收益（元）,河北,2006.0,-0.01
上市公司每股收益（元）,山西,2006.0,0.44
上市公司每股收益（元）,内蒙古,2006.0,0.24
上市公司每股收益（元）,辽宁,2006.0,0.44
上市公司每股收益（元）,吉林,2006.0,0.13
上市公司每股收益（元）,黑龙江,2006.0,0.02
上市公司每股收益（元）,上海,2006.0,0.24
上市公司每股收益（元）,江苏,2006.0,0.18
上市公司每股收益（元）,浙江,2006.0,0.22
上市公司每股收益（元）,安徽,2006.0,0.3
上市公司每股收益（元）,福建,2006.0,0.12
上市公司每股收益（元）,江西,2006.0,0.62
上市公司每股收益（元）,山东,2006.0,0.27
上市公司每股收益（元）,河南,2006.0,0.22
