指标,地区,时间,数值
    深交所上市公司数量（家）,山西,2010,13.00000
    深交所上市公司数量（家）,内蒙古,2009,5.00000
    深交所上市公司数量（家）,内蒙古,2010,6.00000
    深交所上市公司数量（家）,辽宁,2009,26.00000
    深交所上市公司数量（家）,辽宁,2010,33.00000
    深交所上市公司数量（家）,吉林,2009,16.00000
    深交所上市公司数量（家）,吉林,2010,18.00000
    深交所上市公司数量（家）,黑龙江,2009,6.00000
    深交所上市公司数量（家）,黑龙江,2010,8.00000
    深交所上市公司数量（家）,上海,2009,16.00000
    深交所上市公司数量（家）,上海,2010,32.00000
    深交所上市公司数量（家）,江苏,2009,64.00000
    深交所上市公司数量（家）,江苏,2010,102.00000
    深交所上市公司数量（家）,浙江,2009,76.00000
    深交所上市公司数量（家）,浙江,2010,118.00000
    深交所上市公司数量（家）,安徽,2009,29.00000
    深交所上市公司数量（家）,安徽,2010,36.00000
    深交所上市公司数量（家）,福建,2009,29.00000
    深交所上市公司数量（家）,福建,2010,43.00000
    深交所上市公司数量（家）,江西,2009,10.00000
    深交所上市公司数量（家）,江西,2010,14.00000
    深交所上市公司数量（家）,山东,2009,52.00000
    深交所上市公司数量（家）,山东,2010,77.00000
    深交所上市公司数量（家）,河南,2009,21.00000
    深交所上市公司数量（家）,河南,2010,30.00000
    深交所上市公司数量（家）,湖北,2009,33.00000
    深交所上市公司数量（家）,湖北,2010,38.00000
    深交所上市公司数量（家）,湖南,2009,34.00000
    深交所上市公司数量（家）,湖南,2010,43.00000
    深交所上市公司数量（家）,广东,2009,186.00000
    深交所上市公司数量（家）,广东,2010,255.00000
    深交所上市公司数量（家）,广西,2009,15.00000
    深交所上市公司数量（家）,广西,2010,16.00000
    深交所上市公司数量（家）,海南,2009,14.00000
    深交所上市公司数量（家）,海南,2010,15.00000
    深交所上市公司数量（家）,重庆,2009,16.00000
    深交所上市公司数量（家）,重庆,2010,18.00000
    深交所上市公司数量（家）,四川,2009,39.00000
    深交所上市公司数量（家）,四川,2010,49.00000
    深交所上市公司数量（家）,贵州,2009,8.00000
    深交所上市公司数量（家）,贵州,2010,10.00000
    深交所上市公司数量（家）,云南,2009,14.00000
    深交所上市公司数量（家）,云南,2010,16.00000
    深交所上市公司数量（家）,西藏,2009,3.00000
    深交所上市公司数量（家）,西藏,2010,3.00000
    深交所上市公司数量（家）,陕西,2009,15.00000
    深交所上市公司数量（家）,陕西,2010,19.00000
    深交所上市公司数量（家）,甘肃,2009,12.00000
    深交所上市公司数量（家）,甘肃,2010,12.00000
    深交所上市公司数量（家）,青海,2009,3.00000
    深交所上市公司数量（家）,青海,2010,3.00000
    深交所上市公司数量（家）,宁夏,2009,7.00000
    深交所上市公司数量（家）,宁夏,2010,8.00000
    深交所上市公司数量（家）,新疆,2009,13.00000
    深交所上市公司数量（家）,新疆,2010,15.00000
    上市公司总资产（亿元）,北京,2009,413604.99000
    上市公司总资产（亿元）,北京,2010,600723.86000
    上市公司总资产（亿元）,天津,2009,3264.71000
    上市公司总资产（亿元）,天津,2010,3665.57000
    上市公司总资产（亿元）,河北,2009,2667.20000
    上市公司总资产（亿元）,河北,2010,3253.46000
    上市公司总资产（亿元）,山西,2009,2892.56000
    上市公司总资产（亿元）,山西,2010,3944.90000
    上市公司总资产（亿元）,内蒙古,2009,1833.37000
    上市公司总资产（亿元）,内蒙古,2010,2049.29000
    上市公司总资产（亿元）,辽宁,2009,4050.86000
    上市公司总资产（亿元）,辽宁,2010,5376.16000
    上市公司总资产（亿元）,吉林,2009,1475.57000
    上市公司总资产（亿元）,吉林,2010,1690.16000
    上市公司总资产（亿元）,黑龙江,2009,914.76000
    上市公司总资产（亿元）,黑龙江,2010,1389.50000
    上市公司总资产（亿元）,上海,2009,74099.46000
    上市公司总资产（亿元）,上海,2010,90393.88000
    上市公司总资产（亿元）,江苏,2009,6189.10000
    上市公司总资产（亿元）,江苏,2010,10028.01000
    上市公司总资产（亿元）,浙江,2009,5992.91000
    上市公司总资产（亿元）,浙江,2010,9438.34000
    上市公司总资产（亿元）,安徽,2009,3224.30000
    上市公司总资产（亿元）,安徽,2010,3984.54000
    上市公司总资产（亿元）,福建,2009,15508.20000
    上市公司总资产（亿元）,福建,2010,21889.20000
    上市公司总资产（亿元）,江西,2009,1465.44000
    上市公司总资产（亿元）,江西,2010,1949.02000
    上市公司总资产（亿元）,山东,2009,6153.52000
    上市公司总资产（亿元）,山东,2010,8141.16000
    上市公司总资产（亿元）,河南,2009,1893.20000
    上市公司总资产（亿元）,河南,2010,2563.66000
    上市公司总资产（亿元）,湖北,2009,3602.15000
    上市公司总资产（亿元）,湖北,2010,4625.88000
    上市公司总资产（亿元）,湖南,2009,2459.47000
    上市公司总资产（亿元）,湖南,2010,3466.71000
    上市公司总资产（亿元）,广东,2009,52881.32000
    上市公司总资产（亿元）,广东,2010,65704.69000
    上市公司总资产（亿元）,广西,2009,850.19000
    上市公司总资产（亿元）,广西,2010,1096.66000
    上市公司总资产（亿元）,海南,2009,990.10000
    上市公司总资产（亿元）,海南,2010,1199.80000
    上市公司总资产（亿元）,重庆,2009,1177.36000
    上市公司总资产（亿元）,重庆,2010,1815.66000
    上市公司总资产（亿元）,四川,2009,3555.73000
    上市公司总资产（亿元）,四川,2010,4603.05000
    上市公司总资产（亿元）,贵州,2009,836.49000
    上市公司总资产（亿元）,贵州,2010,1084.13000
    上市公司总资产（亿元）,云南,2009,1358.82000
    上市公司总资产（亿元）,云南,2010,1690.94000
    上市公司总资产（亿元）,西藏,2009,135.41000
    上市公司总资产（亿元）,西藏,2010,260.29000
    上市公司总资产（亿元）,陕西,2009,851.88000
    上市公司总资产（亿元）,陕西,2010,1442.89000
    上市公司总资产（亿元）,甘肃,2009,1473.51000
    上市公司总资产（亿元）,甘肃,2010,1662.47000
    上市公司总资产（亿元）,青海,2009,550.87000
    上市公司总资产（亿元）,青海,2010,724.20000
    上市公司总资产（亿元）,宁夏,2009,231.13000
    上市公司总资产（亿元）,宁夏,2010,303.49000
    上市公司总资产（亿元）,新疆,2009,1667.53000
    上市公司总资产（亿元）,新疆,2010,2065.66000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,北京,2009,44079.98000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,北京,2010,58342.84000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,天津,2009,1233.64000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,天津,2010,1431.27000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河北,2009,887.06000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河北,2010,1130.93000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山西,2009,1293.69000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山西,2010,1664.31000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,内蒙古,2009,613.85000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,内蒙古,2010,709.84000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,辽宁,2009,1517.15000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,辽宁,2010,1933.18000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,吉林,2009,577.13000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,吉林,2010,625.91000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,黑龙江,2009,374.69000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,黑龙江,2010,607.55000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,上海,2009,10200.06000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,上海,2010,12537.39000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江苏,2009,2050.09000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江苏,2010,3412.47000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,浙江,2009,1970.47000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,浙江,2010,3365.47000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,安徽,2009,1434.80000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,安徽,2010,1813.06000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,福建,2009,1432.78000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,福建,2010,2223.84000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江西,2009,672.23000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江西,2010,939.12000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山东,2009,2445.53000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山东,2010,3235.21000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河南,2009,736.83000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河南,2010,1007.02000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖北,2009,1216.35000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖北,2010,1561.29000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖南,2009,819.33000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖南,2010,1306.78000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广东,2009,8139.18000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广东,2010,11373.30000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广西,2009,323.29000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广西,2010,390.85000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,海南,2009,309.74000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,海南,2010,425.20000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,重庆,2009,414.54000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,重庆,2010,720.48000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,四川,2009,1161.95000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,四川,2010,1586.92000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,贵州,2009,396.76000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,贵州,2010,522.09000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,云南,2009,489.14000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,云南,2010,577.77000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,西藏,2009,50.68000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,西藏,2010,103.23000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,陕西,2009,474.27000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,陕西,2010,768.78000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,甘肃,2009,353.79000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,甘肃,2010,370.07000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,青海,2009,267.86000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,青海,2010,316.62000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,宁夏,2009,76.36000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,宁夏,2010,97.31000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,新疆,2009,566.45000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,新疆,2010,837.16000
    上市公司净利润（亿元）,北京,2009,6453.81000
    上市公司净利润（亿元）,北京,2010,9403.30000
    上市公司净利润（亿元）,天津,2009,-11.62000
    上市公司净利润（亿元）,天津,2010,153.04000
    上市公司净利润（亿元）,河北,2009,56.81000
    上市公司净利润（亿元）,河北,2010,127.89000
    上市公司净利润（亿元）,山西,2009,150.64000
    上市公司净利润（亿元）,山西,2010,241.16000
    上市公司净利润（亿元）,内蒙古,2009,53.10000
    上市公司净利润（亿元）,内蒙古,2010,113.81000
    上市公司净利润（亿元）,辽宁,2009,50.18000
    上市公司净利润（亿元）,辽宁,2010,137.52000
    上市公司净利润（亿元）,吉林,2009,69.45000
    上市公司净利润（亿元）,吉林,2010,72.39000
    上市公司净利润（亿元）,黑龙江,2009,19.58000
    上市公司净利润（亿元）,黑龙江,2010,52.38000
    上市公司净利润（亿元）,上海,2009,1048.85000
    上市公司净利润（亿元）,上海,2010,1596.36000
    上市公司净利润（亿元）,江苏,2009,215.58000
    上市公司净利润（亿元）,江苏,2010,400.42000
    上市公司净利润（亿元）,浙江,2009,242.17000
    上市公司净利润（亿元）,浙江,2010,396.77000
    上市公司净利润（亿元）,安徽,2009,116.84000
    上市公司净利润（亿元）,安徽,2010,214.45000
    上市公司净利润（亿元）,福建,2009,238.62000
    上市公司净利润（亿元）,福建,2010,368.49000
    上市公司净利润（亿元）,江西,2009,62.99000
    上市公司净利润（亿元）,江西,2010,108.35000
    上市公司净利润（亿元）,山东,2009,259.91000
    上市公司净利润（亿元）,山东,2010,433.49000
    上市公司净利润（亿元）,河南,2009,56.76000
    上市公司净利润（亿元）,河南,2010,106.18000
    上市公司净利润（亿元）,湖北,2009,94.58000
    上市公司净利润（亿元）,湖北,2010,145.01000
    上市公司净利润（亿元）,湖南,2009,79.53000
    上市公司净利润（亿元）,湖南,2010,143.71000
