指标,地区,时间,数值
    全国上市公司数量（家）,北京,2015,265.00000
    全国上市公司数量（家）,北京,2016,282.00000
    全国上市公司数量（家）,天津,2015,42.00000
    全国上市公司数量（家）,天津,2016,45.00000
    全国上市公司数量（家）,河北,2015,53.00000
    全国上市公司数量（家）,河北,2016,53.00000
    全国上市公司数量（家）,山西,2015,37.00000
    全国上市公司数量（家）,山西,2016,37.00000
    全国上市公司数量（家）,内蒙古,2015,26.00000
    全国上市公司数量（家）,内蒙古,2016,26.00000
    全国上市公司数量（家）,辽宁,2015,50.00000
    全国上市公司数量（家）,辽宁,2016,51.00000
    全国上市公司数量（家）,吉林,2015,40.00000
    全国上市公司数量（家）,吉林,2016,42.00000
    全国上市公司数量（家）,黑龙江,2015,35.00000
    全国上市公司数量（家）,黑龙江,2016,35.00000
    全国上市公司数量（家）,上海,2015,223.00000
    全国上市公司数量（家）,上海,2016,239.00000
    全国上市公司数量（家）,江苏,2015,276.00000
    全国上市公司数量（家）,江苏,2016,317.00000
    全国上市公司数量（家）,浙江,2015,255.00000
    全国上市公司数量（家）,浙江,2016,280.00000
    全国上市公司数量（家）,安徽,2015,88.00000
    全国上市公司数量（家）,安徽,2016,93.00000
    全国上市公司数量（家）,福建,2015,66.00000
    全国上市公司数量（家）,福建,2016,70.00000
    全国上市公司数量（家）,江西,2015,35.00000
    全国上市公司数量（家）,江西,2016,36.00000
    全国上市公司数量（家）,山东,2015,145.00000
    全国上市公司数量（家）,山东,2016,154.00000
    全国上市公司数量（家）,河南,2015,73.00000
    全国上市公司数量（家）,河南,2016,74.00000
    全国上市公司数量（家）,湖北,2015,87.00000
    全国上市公司数量（家）,湖北,2016,96.00000
    全国上市公司数量（家）,湖南,2015,82.00000
    全国上市公司数量（家）,湖南,2016,86.00000
    全国上市公司数量（家）,广东,2015,222.00000
    全国上市公司数量（家）,广东,2016,241.00000
    全国上市公司数量（家）,广西,2015,35.00000
    全国上市公司数量（家）,广西,2016,36.00000
    全国上市公司数量（家）,海南,2015,28.00000
    全国上市公司数量（家）,海南,2016,29.00000
    全国上市公司数量（家）,重庆,2015,43.00000
    全国上市公司数量（家）,重庆,2016,44.00000
    全国上市公司数量（家）,四川,2015,103.00000
    全国上市公司数量（家）,四川,2016,112.00000
    全国上市公司数量（家）,贵州,2015,20.00000
    全国上市公司数量（家）,贵州,2016,23.00000
    全国上市公司数量（家）,云南,2015,30.00000
    全国上市公司数量（家）,云南,2016,32.00000
    全国上市公司数量（家）,西藏,2015,11.00000
    全国上市公司数量（家）,西藏,2016,14.00000
    全国上市公司数量（家）,陕西,2015,43.00000
    全国上市公司数量（家）,陕西,2016,45.00000
    全国上市公司数量（家）,甘肃,2015,27.00000
    全国上市公司数量（家）,甘肃,2016,29.00000
    全国上市公司数量（家）,青海,2015,10.00000
    全国上市公司数量（家）,青海,2016,11.00000
    全国上市公司数量（家）,宁夏,2015,12.00000
    全国上市公司数量（家）,宁夏,2016,12.00000
    全国上市公司数量（家）,新疆,2015,43.00000
    全国上市公司数量（家）,新疆,2016,47.00000
    全国上市公司数量（家）,深圳,2015,202.00000
    全国上市公司数量（家）,深圳,2016,231.00000
    全国上市公司数量（家）,大连,2015,26.00000
