指标,地区,时间,数值
    地区生产总值（当年价）（亿元）,全国总计,2000,99214.55431
    地区生产总值（当年价）（亿元）,全国总计,2001,109655.17056
    地区生产总值（当年价）（亿元）,    北京,2000,2478.76000
    地区生产总值（当年价）（亿元）,    北京,2001,3710.52000
    地区生产总值（当年价）（亿元）,    天津,2000,1639.36000
    地区生产总值（当年价）（亿元）,    天津,2001,1919.09000
    地区生产总值（当年价）（亿元）,    河北,2000,5088.96000
    地区生产总值（当年价）（亿元）,    河北,2001,5516.76000
    地区生产总值（当年价）（亿元）,    山西,2000,1643.81000
    地区生产总值（当年价）（亿元）,    山西,2001,2029.53000
    地区生产总值（当年价）（亿元）,    内蒙古,2000,1401.01000
    地区生产总值（当年价）（亿元）,    内蒙古,2001,1713.81000
    地区生产总值（当年价）（亿元）,    辽宁,2000,4669.06000
    地区生产总值（当年价）（亿元）,    辽宁,2001,5033.08000
    地区生产总值（当年价）（亿元）,    吉林,2000,1821.19000
    地区生产总值（当年价）（亿元）,    吉林,2001,2120.35000
    地区生产总值（当年价）（亿元）,    黑龙江,2000,3253.00000
    地区生产总值（当年价）（亿元）,    黑龙江,2001,3390.13000
    地区生产总值（当年价）（亿元）,    上海,2000,4551.15000
    地区生产总值（当年价）（亿元）,    上海,2001,5210.12000
    地区生产总值（当年价）（亿元）,    江苏,2000,8582.72763
    地区生产总值（当年价）（亿元）,    江苏,2001,9456.84000
    地区生产总值（当年价）（亿元）,    浙江,2000,6036.34000
    地区生产总值（当年价）（亿元）,    浙江,2001,6898.33884
    地区生产总值（当年价）（亿元）,    安徽,2000,3038.23588
    地区生产总值（当年价）（亿元）,    安徽,2001,3246.71456
    地区生产总值（当年价）（亿元）,    福建,2000,3920.07000
    地区生产总值（当年价）（亿元）,    福建,2001,4072.85000
    地区生产总值（当年价）（亿元）,    江西,2000,2003.07000
    地区生产总值（当年价）（亿元）,    江西,2001,2175.68000
    地区生产总值（当年价）（亿元）,    山东,2000,8542.44000
    地区生产总值（当年价）（亿元）,    山东,2001,9195.03600
    地区生产总值（当年价）（亿元）,    河南,2000,5137.66000
    地区生产总值（当年价）（亿元）,    河南,2001,5533.01000
    地区生产总值（当年价）（亿元）,    湖北,2000,4276.32000
    地区生产总值（当年价）（亿元）,    湖北,2001,3880.53000
    地区生产总值（当年价）（亿元）,    湖南,2000,3691.88000
