指标,地区,时间,数值
    地区生产总值（当年价）（亿元）,    北京,2020,36102.55000
    地区生产总值（当年价）（亿元）,    北京,2021,40269.60000
    地区生产总值（当年价）（亿元）,    天津,2020,14083.73000
    地区生产总值（当年价）（亿元）,    天津,2021,15695.00000
    地区生产总值（当年价）（亿元）,    河北,2020,36206.89000
    地区生产总值（当年价）（亿元）,    河北,2021,40391.30000
    地区生产总值（当年价）（亿元）,    山西,2020,17651.93000
    地区生产总值（当年价）（亿元）,    山西,2021,22590.20000
    地区生产总值（当年价）（亿元）,    内蒙古,2020,17359.82000
    地区生产总值（当年价）（亿元）,    内蒙古,2021,20514.20000
    地区生产总值（当年价）（亿元）,    辽宁,2020,25114.96000
    地区生产总值（当年价）（亿元）,    辽宁,2021,27584.10000
    地区生产总值（当年价）（亿元）,    吉林,2020,12311.32000
    地区生产总值（当年价）（亿元）,    吉林,2021,13235.50000
    地区生产总值（当年价）（亿元）,    黑龙江,2020,13698.50000
    地区生产总值（当年价）（亿元）,    黑龙江,2021,14879.20000
    地区生产总值（当年价）（亿元）,    上海,2020,38700.58000
    地区生产总值（当年价）（亿元）,    上海,2021,43214.90000
    地区生产总值（当年价）（亿元）,    江苏,2020,102718.98000
    地区生产总值（当年价）（亿元）,    江苏,2021,116364.20000
    地区生产总值（当年价）（亿元）,    浙江,2020,64613.34000
    地区生产总值（当年价）（亿元）,    浙江,2021,73515.80000
    地区生产总值（当年价）（亿元）,    安徽,2020,38680.63000
    地区生产总值（当年价）（亿元）,    安徽,2021,42959.20000
    地区生产总值（当年价）（亿元）,    福建,2020,43903.89000
    地区生产总值（当年价）（亿元）,    福建,2021,48810.40000
    地区生产总值（当年价）（亿元）,    江西,2020,25691.50000
    地区生产总值（当年价）（亿元）,    江西,2021,29619.70000
    地区生产总值（当年价）（亿元）,    山东,2020,73129.00000
    地区生产总值（当年价）（亿元）,    山东,2021,83095.90000
    地区生产总值（当年价）（亿元）,    河南,2020,54997.07000
    地区生产总值（当年价）（亿元）,    河南,2021,58887.40000
    地区生产总值（当年价）（亿元）,    湖北,2020,43443.46000
    地区生产总值（当年价）（亿元）,    湖北,2021,50012.90000
    地区生产总值（当年价）（亿元）,    湖南,2020,41781.49000
    地区生产总值（当年价）（亿元）,    湖南,2021,46063.10000
    地区生产总值（当年价）（亿元）,    广东,2020,110760.94000
    地区生产总值（当年价）（亿元）,    广东,2021,124369.70000
    地区生产总值（当年价）（亿元）,    广西,2020,22156.69000
    地区生产总值（当年价）（亿元）,    广西,2021,24740.90000
    地区生产总值（当年价）（亿元）,    海南,2020,5532.39000
    地区生产总值（当年价）（亿元）,    海南,2021,6475.20000
    地区生产总值（当年价）（亿元）,    重庆,2020,25002.79000
    地区生产总值（当年价）（亿元）,    重庆,2021,27894.00000
    地区生产总值（当年价）（亿元）,    四川,2020,48598.76000
    地区生产总值（当年价）（亿元）,    四川,2021,53850.80000
    地区生产总值（当年价）（亿元）,    贵州,2020,17826.56000
    地区生产总值（当年价）（亿元）,    贵州,2021,19586.40000
    地区生产总值（当年价）（亿元）,    云南,2020,24521.90000
    地区生产总值（当年价）（亿元）,    云南,2021,27146.80000
    地区生产总值（当年价）（亿元）,    西藏,2020,1902.74000
    地区生产总值（当年价）（亿元）,    西藏,2021,2080.20000
    地区生产总值（当年价）（亿元）,    陕西,2020,26181.86000
    地区生产总值（当年价）（亿元）,    陕西,2021,29801.00000
    地区生产总值（当年价）（亿元）,    甘肃,2020,9016.70000
    地区生产总值（当年价）（亿元）,    甘肃,2021,10243.30000
    地区生产总值（当年价）（亿元）,    青海,2020,3005.92000
    地区生产总值（当年价）（亿元）,    青海,2021,3346.60000
    地区生产总值（当年价）（亿元）,    宁夏,2020,3920.55000
    地区生产总值（当年价）（亿元）,    宁夏,2021,4522.30000
    地区生产总值（当年价）（亿元）,    新疆,2020,13797.58000
    地区生产总值（当年价）（亿元）,    新疆,2021,15983.60000
        第一产业增加值（亿元）,    北京,2020,107.61000
        第一产业增加值（亿元）,    北京,2021,111.30000
        第一产业增加值（亿元）,    天津,2020,210.18000
        第一产业增加值（亿元）,    天津,2021,225.40000
        第一产业增加值（亿元）,    河北,2020,3880.14000
        第一产业增加值（亿元）,    河北,2021,4030.30000
        第一产业增加值（亿元）,    山西,2020,946.68000
        第一产业增加值（亿元）,    山西,2021,1286.90000
        第一产业增加值（亿元）,    内蒙古,2020,2025.12000
        第一产业增加值（亿元）,    内蒙古,2021,2225.20000
        第一产业增加值（亿元）,    辽宁,2020,2284.61000
        第一产业增加值（亿元）,    辽宁,2021,2461.80000
        第一产业增加值（亿元）,    吉林,2020,1553.00000
        第一产业增加值（亿元）,    吉林,2021,1553.80000
        第一产业增加值（亿元）,    黑龙江,2020,3438.29000
        第一产业增加值（亿元）,    黑龙江,2021,3463.00000
        第一产业增加值（亿元）,    上海,2020,103.57000
        第一产业增加值（亿元）,    上海,2021,100.00000
        第一产业增加值（亿元）,    江苏,2020,4536.72000
        第一产业增加值（亿元）,    江苏,2021,4722.40000
        第一产业增加值（亿元）,    浙江,2020,2169.23000
        第一产业增加值（亿元）,    浙江,2021,2209.10000
        第一产业增加值（亿元）,    安徽,2020,3184.68000
        第一产业增加值（亿元）,    安徽,2021,3360.60000
        第一产业增加值（亿元）,    福建,2020,2732.32000
        第一产业增加值（亿元）,    福建,2021,2897.70000
        第一产业增加值（亿元）,    江西,2020,2241.59000
        第一产业增加值（亿元）,    江西,2021,2334.30000
        第一产业增加值（亿元）,    山东,2020,5363.76000
        第一产业增加值（亿元）,    山东,2021,6029.00000
        第一产业增加值（亿元）,    河南,2020,5353.74000
        第一产业增加值（亿元）,    河南,2021,5620.80000
        第一产业增加值（亿元）,    湖北,2020,4131.91000
        第一产业增加值（亿元）,    湖北,2021,4661.70000
        第一产业增加值（亿元）,    湖南,2020,4240.45000
        第一产业增加值（亿元）,    湖南,2021,4322.90000
        第一产业增加值（亿元）,    广东,2020,4769.99000
        第一产业增加值（亿元）,    广东,2021,5003.70000
        第一产业增加值（亿元）,    广西,2020,3555.82000
        第一产业增加值（亿元）,    广西,2021,4015.50000
        第一产业增加值（亿元）,    海南,2020,1135.98000
        第一产业增加值（亿元）,    海南,2021,1254.40000
        第一产业增加值（亿元）,    重庆,2020,1803.33000
        第一产业增加值（亿元）,    重庆,2021,1922.00000
        第一产业增加值（亿元）,    四川,2020,5556.58000
        第一产业增加值（亿元）,    四川,2021,5661.90000
        第一产业增加值（亿元）,    贵州,2020,2539.88000
        第一产业增加值（亿元）,    贵州,2021,2730.90000
        第一产业增加值（亿元）,    云南,2020,3598.91000
        第一产业增加值（亿元）,    云南,2021,3870.20000
        第一产业增加值（亿元）,    西藏,2020,150.65000
        第一产业增加值（亿元）,    西藏,2021,164.10000
        第一产业增加值（亿元）,    陕西,2020,2267.54000
        第一产业增加值（亿元）,    陕西,2021,2409.40000
        第一产业增加值（亿元）,    甘肃,2020,1198.14000
