指标,地区,时间,数值
    地区生产总值（当年价）（亿元）,全国总计,2006,216314.42594
    地区生产总值（当年价）（亿元）,全国总计,2007,265810.30584
    地区生产总值（当年价）（亿元）,    北京,2006,8117.78000
    地区生产总值（当年价）（亿元）,    北京,2007,9846.81000
    地区生产总值（当年价）（亿元）,    天津,2006,4462.74000
    地区生产总值（当年价）（亿元）,    天津,2007,5252.76000
    地区生产总值（当年价）（亿元）,    河北,2006,11467.60000
    地区生产总值（当年价）（亿元）,    河北,2007,13607.32000
    地区生产总值（当年价）（亿元）,    山西,2006,4878.61000
    地区生产总值（当年价）（亿元）,    山西,2007,6024.45000
    地区生产总值（当年价）（亿元）,    内蒙古,2006,4944.25000
    地区生产总值（当年价）（亿元）,    内蒙古,2007,6423.18000
    地区生产总值（当年价）（亿元）,    辽宁,2006,9304.52000
    地区生产总值（当年价）（亿元）,    辽宁,2007,11164.30000
    地区生产总值（当年价）（亿元）,    吉林,2006,4275.12000
    地区生产总值（当年价）（亿元）,    吉林,2007,5284.69000
    地区生产总值（当年价）（亿元）,    黑龙江,2006,6211.80000
    地区生产总值（当年价）（亿元）,    黑龙江,2007,7104.00000
    地区生产总值（当年价）（亿元）,    上海,2006,10572.24000
    地区生产总值（当年价）（亿元）,    上海,2007,12494.01000
    地区生产总值（当年价）（亿元）,    江苏,2006,21742.05000
    地区生产总值（当年价）（亿元）,    江苏,2007,26018.48000
    地区生产总值（当年价）（亿元）,    浙江,2006,15718.47000
    地区生产总值（当年价）（亿元）,    浙江,2007,18753.73000
    地区生产总值（当年价）（亿元）,    安徽,2006,6112.50000
    地区生产总值（当年价）（亿元）,    安徽,2007,7360.92000
    地区生产总值（当年价）（亿元）,    福建,2006,7583.85000
    地区生产总值（当年价）（亿元）,    福建,2007,9248.53000
    地区生产总值（当年价）（亿元）,    江西,2006,4820.53000
    地区生产总值（当年价）（亿元）,    江西,2007,5800.25000
    地区生产总值（当年价）（亿元）,    山东,2006,21900.19000
    地区生产总值（当年价）（亿元）,    山东,2007,25776.91000
    地区生产总值（当年价）（亿元）,    河南,2006,12362.79000
    地区生产总值（当年价）（亿元）,    河南,2007,15012.46000
    地区生产总值（当年价）（亿元）,    湖北,2006,7617.47000
    地区生产总值（当年价）（亿元）,    湖北,2007,9333.40000
    地区生产总值（当年价）（亿元）,    湖南,2006,7688.67000
    地区生产总值（当年价）（亿元）,    湖南,2007,9439.60000
    地区生产总值（当年价）（亿元）,    广东,2006,26587.76000
    地区生产总值（当年价）（亿元）,    广东,2007,31777.01000
    地区生产总值（当年价）（亿元）,    广西,2006,4746.16000
    地区生产总值（当年价）（亿元）,    广西,2007,5823.41000
    地区生产总值（当年价）（亿元）,    海南,2006,1044.91000
    地区生产总值（当年价）（亿元）,    海南,2007,1254.17000
    地区生产总值（当年价）（亿元）,    重庆,2006,3907.23000
    地区生产总值（当年价）（亿元）,    重庆,2007,4676.13000
    地区生产总值（当年价）（亿元）,    四川,2006,8690.24000
    地区生产总值（当年价）（亿元）,    四川,2007,10562.39000
    地区生产总值（当年价）（亿元）,    贵州,2006,2338.98000
    地区生产总值（当年价）（亿元）,    贵州,2007,2884.11000
    地区生产总值（当年价）（亿元）,    云南,2006,3988.14000
    地区生产总值（当年价）（亿元）,    云南,2007,4772.52000
    地区生产总值（当年价）（亿元）,    西藏,2006,290.76000
    地区生产总值（当年价）（亿元）,    西藏,2007,341.43000
    地区生产总值（当年价）（亿元）,    陕西,2006,4743.61000
    地区生产总值（当年价）（亿元）,    陕西,2007,5757.29000
    地区生产总值（当年价）（亿元）,    甘肃,2006,2276.70000
    地区生产总值（当年价）（亿元）,    甘肃,2007,2702.40000
    地区生产总值（当年价）（亿元）,    青海,2006,648.50000
    地区生产总值（当年价）（亿元）,    青海,2007,797.35000
    地区生产总值（当年价）（亿元）,    宁夏,2006,725.90000
    地区生产总值（当年价）（亿元）,    宁夏,2007,919.11000
    地区生产总值（当年价）（亿元）,    新疆,2006,3045.26000
    地区生产总值（当年价）（亿元）,    新疆,2007,3523.16000
        第一产业增加值（亿元）,全国总计,2006,24040.00000
        第一产业增加值（亿元）,全国总计,2007,28627.00000
        第一产业增加值（亿元）,    北京,2006,98.04000
        第一产业增加值（亿元）,    北京,2007,101.26000
        第一产业增加值（亿元）,    天津,2006,118.23000
        第一产业增加值（亿元）,    天津,2007,110.19000
        第一产业增加值（亿元）,    河北,2006,1606.48000
        第一产业增加值（亿元）,    河北,2007,1804.72000
        第一产业增加值（亿元）,    山西,2006,276.77000
        第一产业增加值（亿元）,    山西,2007,269.68000
        第一产业增加值（亿元）,    内蒙古,2006,649.62000
        第一产业增加值（亿元）,    内蒙古,2007,762.10000
        第一产业增加值（亿元）,    辽宁,2006,976.37000
        第一产业增加值（亿元）,    辽宁,2007,1133.40000
        第一产业增加值（亿元）,    吉林,2006,672.76000
        第一产业增加值（亿元）,    吉林,2007,783.80000
        第一产业增加值（亿元）,    黑龙江,2006,737.59000
        第一产业增加值（亿元）,    黑龙江,2007,915.38000
        第一产业增加值（亿元）,    上海,2006,93.80000
        第一产业增加值（亿元）,    上海,2007,101.84000
        第一产业增加值（亿元）,    江苏,2006,1545.01000
        第一产业增加值（亿元）,    江苏,2007,1816.24000
        第一产业增加值（亿元）,    浙江,2006,925.10000
        第一产业增加值（亿元）,    浙江,2007,986.02000
        第一产业增加值（亿元）,    安徽,2006,1028.66000
        第一产业增加值（亿元）,    安徽,2007,1200.18000
        第一产业增加值（亿元）,    福建,2006,896.17000
        第一产业增加值（亿元）,    福建,2007,1002.11000
        第一产业增加值（亿元）,    江西,2006,786.14000
        第一产业增加值（亿元）,    江西,2007,905.77000
        第一产业增加值（亿元）,    山东,2006,2138.90000
        第一产业增加值（亿元）,    山东,2007,2509.14000
        第一产业增加值（亿元）,    河南,2006,2049.92000
        第一产业增加值（亿元）,    河南,2007,2217.66000
        第一产业增加值（亿元）,    湖北,2006,1140.41000
        第一产业增加值（亿元）,    湖北,2007,1378.00000
        第一产业增加值（亿元）,    湖南,2006,1332.23000
        第一产业增加值（亿元）,    湖南,2007,1626.52000
        第一产业增加值（亿元）,    广东,2006,1577.12000
        第一产业增加值（亿元）,    广东,2007,1695.57000
        第一产业增加值（亿元）,    广西,2006,1032.47000
        第一产业增加值（亿元）,    广西,2007,1241.35000
        第一产业增加值（亿元）,    海南,2006,344.48000
        第一产业增加值（亿元）,    海南,2007,361.07000
        第一产业增加值（亿元）,    重庆,2006,425.81000
        第一产业增加值（亿元）,    重庆,2007,482.39000
        第一产业增加值（亿元）,    四川,2006,1595.48000
        第一产业增加值（亿元）,    四川,2007,2032.00000
        第一产业增加值（亿元）,    贵州,2006,393.17000
        第一产业增加值（亿元）,    贵州,2007,446.38000
        第一产业增加值（亿元）,    云南,2006,749.81000
        第一产业增加值（亿元）,    云南,2007,837.35000
        第一产业增加值（亿元）,    西藏,2006,50.90000
        第一产业增加值（亿元）,    西藏,2007,54.89000
        第一产业增加值（亿元）,    陕西,2006,488.48000
        第一产业增加值（亿元）,    陕西,2007,592.63000
        第一产业增加值（亿元）,    甘肃,2006,333.35000
        第一产业增加值（亿元）,    甘肃,2007,385.97000
        第一产业增加值（亿元）,    青海,2006,69.64000
        第一产业增加值（亿元）,    青海,2007,83.41000
        第一产业增加值（亿元）,    宁夏,2006,79.54000
        第一产业增加值（亿元）,    宁夏,2007,97.89000
        第一产业增加值（亿元）,    新疆,2006,527.80000
        第一产业增加值（亿元）,    新疆,2007,628.72000
        第二产业增加值（亿元）,全国总计,2006,103719.54158
        第二产业增加值（亿元）,全国总计,2007,125831.35804
        第二产业增加值（亿元）,    北京,2006,2191.43000
        第二产业增加值（亿元）,    北京,2007,2509.40000
        第二产业增加值（亿元）,    天津,2006,2488.29000
        第二产业增加值（亿元）,    天津,2007,2892.53000
        第二产业增加值（亿元）,    河北,2006,6115.01000
        第二产业增加值（亿元）,    河北,2007,7241.80000
        第二产业增加值（亿元）,    山西,2006,2748.33000
        第二产业增加值（亿元）,    山西,2007,3438.58000
        第二产业增加值（亿元）,    内蒙古,2006,2327.44000
        第二产业增加值（亿元）,    内蒙古,2007,3154.56000
        第二产业增加值（亿元）,    辽宁,2006,4729.50000
        第二产业增加值（亿元）,    辽宁,2007,5853.10000
        第二产业增加值（亿元）,    吉林,2006,1915.29000
        第二产业增加值（亿元）,    吉林,2007,2475.45000
        第二产业增加值（亿元）,    黑龙江,2006,3365.31000
        第二产业增加值（亿元）,    黑龙江,2007,3695.58000
        第二产业增加值（亿元）,    上海,2006,5028.37000
        第二产业增加值（亿元）,    上海,2007,5678.51000
        第二产业增加值（亿元）,    江苏,2006,12250.84000
        第二产业增加值（亿元）,    江苏,2007,14306.40000
        第二产业增加值（亿元）,    浙江,2006,8509.57000
        第二产业增加值（亿元）,    浙江,2007,10148.45000
        第二产业增加值（亿元）,    安徽,2006,2648.13000
        第二产业增加值（亿元）,    安徽,2007,3289.12000
        第二产业增加值（亿元）,    福建,2006,3743.71000
        第二产业增加值（亿元）,    福建,2007,4549.42000
        第二产业增加值（亿元）,    江西,2006,2320.74000
        第二产业增加值（亿元）,    江西,2007,2840.92000
        第二产业增加值（亿元）,    山东,2006,12751.20000
        第二产业增加值（亿元）,    山东,2007,14776.53000
        第二产业增加值（亿元）,    河南,2006,6724.61000
        第二产业增加值（亿元）,    河南,2007,8282.83000
        第二产业增加值（亿元）,    湖北,2006,3365.08000
        第二产业增加值（亿元）,    湖北,2007,3966.68000
        第二产业增加值（亿元）,    湖南,2006,3151.70000
        第二产业增加值（亿元）,    湖南,2007,3916.44000
        第二产业增加值（亿元）,    广东,2006,13431.82000
        第二产业增加值（亿元）,    广东,2007,15939.10000
        第二产业增加值（亿元）,    广西,2006,1878.56000
        第二产业增加值（亿元）,    广西,2007,2425.29000
        第二产业增加值（亿元）,    海南,2006,287.86000
        第二产业增加值（亿元）,    海南,2007,364.26000
        第二产业增加值（亿元）,    重庆,2006,1500.97000
        第二产业增加值（亿元）,    重庆,2007,1892.10000
        第二产业增加值（亿元）,    四川,2006,3775.19000
        第二产业增加值（亿元）,    四川,2007,4641.30000
        第二产业增加值（亿元）,    贵州,2006,980.78000
        第二产业增加值（亿元）,    贵州,2007,1148.27000
        第二产业增加值（亿元）,    云南,2006,1712.60000
        第二产业增加值（亿元）,    云南,2007,2051.08000
        第二产业增加值（亿元）,    西藏,2006,80.10000
        第二产业增加值（亿元）,    西藏,2007,98.48000
