指标,地区,时间,数值
        第二产业增加值（亿元）,    江苏,2023,56909.70000
        第二产业增加值（亿元）,    浙江,2022,33205.20000
        第二产业增加值（亿元）,    浙江,2023,33952.70000
        第二产业增加值（亿元）,    安徽,2022,18588.00000
        第二产业增加值（亿元）,    安徽,2023,18871.80000
        第二产业增加值（亿元）,    福建,2022,25078.20000
        第二产业增加值（亿元）,    福建,2023,23966.40000
        第二产业增加值（亿元）,    江西,2022,14359.60000
        第二产业增加值（亿元）,    江西,2023,13706.50000
        第二产业增加值（亿元）,    山东,2022,35014.20000
        第二产业增加值（亿元）,    山东,2023,35987.90000
        第二产业增加值（亿元）,    河南,2022,25465.00000
        第二产业增加值（亿元）,    河南,2023,22175.30000
        第二产业增加值（亿元）,    湖北,2022,21240.60000
        第二产业增加值（亿元）,    湖北,2023,20215.50000
        第二产业增加值（亿元）,    湖南,2022,19182.60000
        第二产业增加值（亿元）,    湖南,2023,18822.80000
        第二产业增加值（亿元）,    广东,2022,52843.50000
        第二产业增加值（亿元）,    广东,2023,54437.30000
        第二产业增加值（亿元）,    广西,2022,8938.60000
        第二产业增加值（亿元）,    广西,2023,8924.10000
        第二产业增加值（亿元）,    海南,2022,1310.90000
        第二产业增加值（亿元）,    海南,2023,1448.50000
        第二产业增加值（亿元）,    重庆,2022,11693.90000
        第二产业增加值（亿元）,    重庆,2023,11699.10000
        第二产业增加值（亿元）,    四川,2022,21157.10000
        第二产业增加值（亿元）,    四川,2023,21306.70000
        第二产业增加值（亿元）,    贵州,2022,7113.00000
        第二产业增加值（亿元）,    贵州,2023,7311.40000
        第二产业增加值（亿元）,    云南,2022,10471.20000
        第二产业增加值（亿元）,    云南,2023,10256.30000
        第二产业增加值（亿元）,    西藏,2022,804.70000
        第二产业增加值（亿元）,    西藏,2023,883.00000
        第二产业增加值（亿元）,    陕西,2022,15933.10000
        第二产业增加值（亿元）,    陕西,2023,16068.90000
        第二产业增加值（亿元）,    甘肃,2022,3945.00000
        第二产业增加值（亿元）,    甘肃,2023,4080.80000
        第二产业增加值（亿元）,    青海,2022,1585.70000
        第二产业增加值（亿元）,    青海,2023,1612.80000
        第二产业增加值（亿元）,    宁夏,2022,2449.10000
        第二产业增加值（亿元）,    宁夏,2023,2487.20000
        第二产业增加值（亿元）,    新疆,2022,7271.10000
        第二产业增加值（亿元）,    新疆,2023,7710.30000
            工业增加值（亿元）,    北京,2022,5036.40000
            工业增加值（亿元）,    北京,2023,5008.50000
            工业增加值（亿元）,    天津,2022,5402.70000
            工业增加值（亿元）,    天津,2023,5359.00000
            工业增加值（亿元）,    河北,2022,14675.30000
            工业增加值（亿元）,    河北,2023,13968.70000
            工业增加值（亿元）,    山西,2022,12758.60000
            工业增加值（亿元）,    山西,2023,12263.30000
            工业增加值（亿元）,    内蒙古,2022,9703.80000
            工业增加值（亿元）,    内蒙古,2023,9889.80000
            工业增加值（亿元）,    辽宁,2022,10239.10000
            工业增加值（亿元）,    辽宁,2023,10220.20000
            工业增加值（亿元）,    吉林,2022,3737.90000
            工业增加值（亿元）,    吉林,2023,3705.00000
            工业增加值（亿元）,    黑龙江,2022,4257.60000
            工业增加值（亿元）,    黑龙江,2023,3963.60000
            工业增加值（亿元）,    上海,2022,10794.50000
            工业增加值（亿元）,    上海,2023,10846.20000
            工业增加值（亿元）,    江苏,2022,48593.60000
            工业增加值（亿元）,    江苏,2023,49244.60000
            工业增加值（亿元）,    浙江,2022,28871.30000
            工业增加值（亿元）,    浙江,2023,29412.10000
            工业增加值（亿元）,    安徽,2022,13792.00000
            工业增加值（亿元）,    安徽,2023,14021.10000
            工业增加值（亿元）,    福建,2022,19628.80000
            工业增加值（亿元）,    福建,2023,18548.30000
            工业增加值（亿元）,    江西,2022,11770.30000
            工业增加值（亿元）,    江西,2023,11180.70000
            工业增加值（亿元）,    山东,2022,28739.00000
            工业增加值（亿元）,    山东,2023,29191.20000
            工业增加值（亿元）,    河南,2022,19592.80000
            工业增加值（亿元）,    河南,2023,16915.00000
            工业增加值（亿元）,    湖北,2022,17546.30000
            工业增加值（亿元）,    湖北,2023,16357.00000
            工业增加值（亿元）,    湖南,2022,15025.30000
            工业增加值（亿元）,    湖南,2023,14567.10000
            工业增加值（亿元）,    广东,2022,47723.00000
            工业增加值（亿元）,    广东,2023,48712.90000
            工业增加值（亿元）,    广西,2022,6775.90000
            工业增加值（亿元）,    广西,2023,6918.30000
            工业增加值（亿元）,    海南,2022,770.10000
            工业增加值（亿元）,    海南,2023,861.40000
            工业增加值（亿元）,    重庆,2022,8276.00000
