指标,地区,时间,数值
    地区生产总值（当年价）（亿元）,    北京,2018,30319.98000
    地区生产总值（当年价）（亿元）,    北京,2019,35371.28000
    地区生产总值（当年价）（亿元）,    天津,2018,18809.64000
    地区生产总值（当年价）（亿元）,    天津,2019,14104.28000
    地区生产总值（当年价）（亿元）,    河北,2018,36010.27000
    地区生产总值（当年价）（亿元）,    河北,2019,35104.52000
    地区生产总值（当年价）（亿元）,    山西,2018,16818.11000
    地区生产总值（当年价）（亿元）,    山西,2019,17026.68000
    地区生产总值（当年价）（亿元）,    内蒙古,2018,17289.22000
    地区生产总值（当年价）（亿元）,    内蒙古,2019,17212.53000
    地区生产总值（当年价）（亿元）,    辽宁,2018,25315.35000
    地区生产总值（当年价）（亿元）,    辽宁,2019,24909.45000
    地区生产总值（当年价）（亿元）,    吉林,2018,15074.62000
    地区生产总值（当年价）（亿元）,    吉林,2019,11726.82000
    地区生产总值（当年价）（亿元）,    黑龙江,2018,16361.62000
    地区生产总值（当年价）（亿元）,    黑龙江,2019,13612.68000
    地区生产总值（当年价）（亿元）,    上海,2018,32679.87000
    地区生产总值（当年价）（亿元）,    上海,2019,38155.32000
    地区生产总值（当年价）（亿元）,    江苏,2018,92595.40000
    地区生产总值（当年价）（亿元）,    江苏,2019,99631.52000
    地区生产总值（当年价）（亿元）,    浙江,2018,56197.15000
    地区生产总值（当年价）（亿元）,    浙江,2019,62351.74000
    地区生产总值（当年价）（亿元）,    安徽,2018,30006.82000
    地区生产总值（当年价）（亿元）,    安徽,2019,37113.98000
    地区生产总值（当年价）（亿元）,    福建,2018,35804.04000
    地区生产总值（当年价）（亿元）,    福建,2019,42395.00000
    地区生产总值（当年价）（亿元）,    江西,2018,21984.78000
    地区生产总值（当年价）（亿元）,    江西,2019,24757.50000
    地区生产总值（当年价）（亿元）,    山东,2018,76469.67000
    地区生产总值（当年价）（亿元）,    山东,2019,71067.53000
    地区生产总值（当年价）（亿元）,    河南,2018,48055.86000
    地区生产总值（当年价）（亿元）,    河南,2019,54259.20000
    地区生产总值（当年价）（亿元）,    湖北,2018,39366.55000
    地区生产总值（当年价）（亿元）,    湖北,2019,45828.31000
    地区生产总值（当年价）（亿元）,    湖南,2018,36425.78000
    地区生产总值（当年价）（亿元）,    湖南,2019,39752.12000
    地区生产总值（当年价）（亿元）,    广东,2018,97277.77000
    地区生产总值（当年价）（亿元）,    广东,2019,107671.07000
    地区生产总值（当年价）（亿元）,    广西,2018,20352.51000
    地区生产总值（当年价）（亿元）,    广西,2019,21237.14000
    地区生产总值（当年价）（亿元）,    海南,2018,4832.05000
    地区生产总值（当年价）（亿元）,    海南,2019,5308.93000
    地区生产总值（当年价）（亿元）,    重庆,2018,20363.19000
    地区生产总值（当年价）（亿元）,    重庆,2019,23605.77000
    地区生产总值（当年价）（亿元）,    四川,2018,40678.13000
    地区生产总值（当年价）（亿元）,    四川,2019,46615.82000
    地区生产总值（当年价）（亿元）,    贵州,2018,14806.45000
    地区生产总值（当年价）（亿元）,    贵州,2019,16769.34000
    地区生产总值（当年价）（亿元）,    云南,2018,17881.12000
    地区生产总值（当年价）（亿元）,    云南,2019,23223.75000
    地区生产总值（当年价）（亿元）,    西藏,2018,1477.63000
    地区生产总值（当年价）（亿元）,    西藏,2019,1697.82000
    地区生产总值（当年价）（亿元）,    陕西,2018,24438.32000
    地区生产总值（当年价）（亿元）,    陕西,2019,25793.17000
    地区生产总值（当年价）（亿元）,    甘肃,2018,8246.07000
    地区生产总值（当年价）（亿元）,    甘肃,2019,8718.30000
    地区生产总值（当年价）（亿元）,    青海,2018,2865.23000
    地区生产总值（当年价）（亿元）,    青海,2019,2965.95000
    地区生产总值（当年价）（亿元）,    宁夏,2018,3705.18000
    地区生产总值（当年价）（亿元）,    宁夏,2019,3748.48000
    地区生产总值（当年价）（亿元）,    新疆,2018,12199.08000
    地区生产总值（当年价）（亿元）,    新疆,2019,13597.11000
        第一产业增加值（亿元）,    北京,2018,118.69000
        第一产业增加值（亿元）,    北京,2019,113.69000
        第一产业增加值（亿元）,    天津,2018,172.71000
        第一产业增加值（亿元）,    天津,2019,185.23000
        第一产业增加值（亿元）,    河北,2018,3338.00000
        第一产业增加值（亿元）,    河北,2019,3518.44000
        第一产业增加值（亿元）,    山西,2018,740.64000
        第一产业增加值（亿元）,    山西,2019,824.72000
        第一产业增加值（亿元）,    内蒙古,2018,1753.82000
        第一产业增加值（亿元）,    内蒙古,2019,1863.19000
        第一产业增加值（亿元）,    辽宁,2018,2033.30000
        第一产业增加值（亿元）,    辽宁,2019,2177.77000
        第一产业增加值（亿元）,    吉林,2018,1160.75000
        第一产业增加值（亿元）,    吉林,2019,1287.32000
        第一产业增加值（亿元）,    黑龙江,2018,3000.96000
        第一产业增加值（亿元）,    黑龙江,2019,3182.45000
        第一产业增加值（亿元）,    上海,2018,104.37000
        第一产业增加值（亿元）,    上海,2019,103.88000
        第一产业增加值（亿元）,    江苏,2018,4141.72000
        第一产业增加值（亿元）,    江苏,2019,4296.28000
        第一产业增加值（亿元）,    浙江,2018,1967.01000
        第一产业增加值（亿元）,    浙江,2019,2097.38000
        第一产业增加值（亿元）,    安徽,2018,2638.01000
        第一产业增加值（亿元）,    安徽,2019,2915.70000
        第一产业增加值（亿元）,    福建,2018,2379.82000
        第一产业增加值（亿元）,    福建,2019,2596.23000
        第一产业增加值（亿元）,    江西,2018,1877.33000
        第一产业增加值（亿元）,    江西,2019,2057.56000
        第一产业增加值（亿元）,    山东,2018,4950.52000
        第一产业增加值（亿元）,    山东,2019,5116.44000
        第一产业增加值（亿元）,    河南,2018,4289.38000
        第一产业增加值（亿元）,    河南,2019,4635.40000
        第一产业增加值（亿元）,    湖北,2018,3547.51000
        第一产业增加值（亿元）,    湖北,2019,3809.09000
        第一产业增加值（亿元）,    湖南,2018,3083.59000
        第一产业增加值（亿元）,    湖南,2019,3646.95000
        第一产业增加值（亿元）,    广东,2018,3831.44000
        第一产业增加值（亿元）,    广东,2019,4351.26000
        第一产业增加值（亿元）,    广西,2018,3019.37000
        第一产业增加值（亿元）,    广西,2019,3387.74000
        第一产业增加值（亿元）,    海南,2018,1000.11000
        第一产业增加值（亿元）,    海南,2019,1080.36000
        第一产业增加值（亿元）,    重庆,2018,1378.27470
        第一产业增加值（亿元）,    重庆,2019,1551.42000
        第一产业增加值（亿元）,    四川,2018,4426.66000
        第一产业增加值（亿元）,    四川,2019,4807.24000
        第一产业增加值（亿元）,    贵州,2018,2159.54000
        第一产业增加值（亿元）,    贵州,2019,2280.56000
        第一产业增加值（亿元）,    云南,2018,2498.86000
        第一产业增加值（亿元）,    云南,2019,3037.62000
        第一产业增加值（亿元）,    西藏,2018,130.25000
        第一产业增加值（亿元）,    西藏,2019,138.19000
        第一产业增加值（亿元）,    陕西,2018,1830.19000
        第一产业增加值（亿元）,    陕西,2019,1990.93000
        第一产业增加值（亿元）,    甘肃,2018,921.30480
        第一产业增加值（亿元）,    甘肃,2019,1050.48000
        第一产业增加值（亿元）,    青海,2018,268.10000
        第一产业增加值（亿元）,    青海,2019,301.90000
        第一产业增加值（亿元）,    宁夏,2018,279.85000
        第一产业增加值（亿元）,    宁夏,2019,279.93000
        第一产业增加值（亿元）,    新疆,2018,1692.09000
        第一产业增加值（亿元）,    新疆,2019,1781.75000
        第二产业增加值（亿元）,    北京,2018,5647.65000
        第二产业增加值（亿元）,    北京,2019,5715.06000
        第二产业增加值（亿元）,    天津,2018,7609.81000
        第二产业增加值（亿元）,    天津,2019,4969.18000
        第二产业增加值（亿元）,    河北,2018,16040.06000
        第二产业增加值（亿元）,    河北,2019,13597.26000
        第二产业增加值（亿元）,    山西,2018,7089.19000
        第二产业增加值（亿元）,    山西,2019,7453.09000
        第二产业增加值（亿元）,    内蒙古,2018,6807.30000
        第二产业增加值（亿元）,    内蒙古,2019,6818.88000
        第二产业增加值（亿元）,    辽宁,2018,10025.10000
        第二产业增加值（亿元）,    辽宁,2019,9531.24000
        第二产业增加值（亿元）,    吉林,2018,6410.85000
        第二产业增加值（亿元）,    吉林,2019,4134.82000
        第二产业增加值（亿元）,    黑龙江,2018,4030.94000
        第二产业增加值（亿元）,    黑龙江,2019,3615.21000
        第二产业增加值（亿元）,    上海,2018,9732.54000
        第二产业增加值（亿元）,    上海,2019,10299.16000
        第二产业增加值（亿元）,    江苏,2018,41248.52000
        第二产业增加值（亿元）,    江苏,2019,44270.51000
        第二产业增加值（亿元）,    浙江,2018,23505.88000
        第二产业增加值（亿元）,    浙江,2019,26566.60000
        第二产业增加值（亿元）,    安徽,2018,13842.09000
        第二产业增加值（亿元）,    安徽,2019,15337.90000
        第二产业增加值（亿元）,    福建,2018,17232.36000
        第二产业增加值（亿元）,    福建,2019,20581.74000
        第二产业增加值（亿元）,    江西,2018,10250.21000
        第二产业增加值（亿元）,    江西,2019,10939.83000
        第二产业增加值（亿元）,    山东,2018,33641.72000
        第二产业增加值（亿元）,    山东,2019,28310.92000
        第二产业增加值（亿元）,    河南,2018,22034.83000
        第二产业增加值（亿元）,    河南,2019,23605.79000
        第二产业增加值（亿元）,    湖北,2018,17088.95000
        第二产业增加值（亿元）,    湖北,2019,19098.62000
        第二产业增加值（亿元）,    湖南,2018,14453.54000
        第二产业增加值（亿元）,    湖南,2019,14946.98000
        第二产业增加值（亿元）,    广东,2018,40695.15000
        第二产业增加值（亿元）,    广东,2019,43546.43000
        第二产业增加值（亿元）,    广西,2018,8072.94000
        第二产业增加值（亿元）,    广西,2019,7077.43000
        第二产业增加值（亿元）,    海南,2018,1095.79000
        第二产业增加值（亿元）,    海南,2019,1099.03000
        第二产业增加值（亿元）,    重庆,2018,8328.79000
        第二产业增加值（亿元）,    重庆,2019,9496.84000
        第二产业增加值（亿元）,    四川,2018,15322.72000
        第二产业增加值（亿元）,    四川,2019,17365.33000
        第二产业增加值（亿元）,    贵州,2018,5755.54000
        第二产业增加值（亿元）,    贵州,2019,6058.45000
        第二产业增加值（亿元）,    云南,2018,6957.44000
        第二产业增加值（亿元）,    云南,2019,7961.58000
        第二产业增加值（亿元）,    西藏,2018,628.37000
        第二产业增加值（亿元）,    西藏,2019,635.62000
        第二产业增加值（亿元）,    陕西,2018,12157.48000
        第二产业增加值（亿元）,    陕西,2019,11980.75000
        第二产业增加值（亿元）,    甘肃,2018,2794.67000
        第二产业增加值（亿元）,    甘肃,2019,2862.42000
        第二产业增加值（亿元）,    青海,2018,1247.06000
        第二产业增加值（亿元）,    青海,2019,1159.75000
        第二产业增加值（亿元）,    宁夏,2018,1650.26000
        第二产业增加值（亿元）,    宁夏,2019,1584.72000
        第二产业增加值（亿元）,    新疆,2018,4922.97000
        第二产业增加值（亿元）,    新疆,2019,4795.50000
            工业增加值（亿元）,    北京,2018,4139.90000
            工业增加值（亿元）,    北京,2019,4241.10000
            工业增加值（亿元）,    天津,2018,4276.90000
            工业增加值（亿元）,    天津,2019,4394.27000
            工业增加值（亿元）,    河北,2018,10930.30000
            工业增加值（亿元）,    河北,2019,11503.03000
            工业增加值（亿元）,    山西,2018,6260.20000
            工业增加值（亿元）,    山西,2019,6569.51000
            工业增加值（亿元）,    内蒙古,2018,5104.20000
            工业增加值（亿元）,    内蒙古,2019,5514.34000
            工业增加值（亿元）,    辽宁,2018,7728.70000
            工业增加值（亿元）,    辽宁,2019,8164.55000
            工业增加值（亿元）,    吉林,2018,3287.20000
            工业增加值（亿元）,    吉林,2019,3347.82000
            工业增加值（亿元）,    黑龙江,2018,3266.70000
            工业增加值（亿元）,    黑龙江,2019,3291.05000
            工业增加值（亿元）,    上海,2018,9763.50000
            工业增加值（亿元）,    上海,2019,9670.68000
            工业增加值（亿元）,    江苏,2018,36113.20000
            工业增加值（亿元）,    江苏,2019,37825.32000
            工业增加值（亿元）,    浙江,2018,21621.20000
            工业增加值（亿元）,    浙江,2019,22840.53000
            工业增加值（亿元）,    安徽,2018,10639.80000
            工业增加值（亿元）,    安徽,2019,11454.85000
            工业增加值（亿元）,    福建,2018,14781.00000
            工业增加值（亿元）,    福建,2019,16170.45000
            工业增加值（亿元）,    江西,2018,8264.20000
            工业增加值（亿元）,    江西,2019,8965.81000
            工业增加值（亿元）,    山东,2018,22613.00000
            工业增加值（亿元）,    山东,2019,22985.13000
            工业增加值（亿元）,    河南,2018,17323.40000
            工业增加值（亿元）,    河南,2019,18413.21000
            工业增加值（亿元）,    湖北,2018,14849.60000
            工业增加值（亿元）,    湖北,2019,16087.33000
            工业增加值（亿元）,    湖南,2018,10785.60000
            工业增加值（亿元）,    湖南,2019,11630.55000
            工业增加值（亿元）,    广东,2018,37651.10000
            工业增加值（亿元）,    广东,2019,39398.46000
            工业增加值（亿元）,    广西,2018,5101.90000
            工业增加值（亿元）,    广西,2019,5277.57000
            工业增加值（亿元）,    海南,2018,582.00000
            工业增加值（亿元）,    海南,2019,588.71000
            工业增加值（亿元）,    重庆,2018,6268.10000
            工业增加值（亿元）,    重庆,2019,6656.72000
            工业增加值（亿元）,    四川,2018,12360.10000
            工业增加值（亿元）,    四川,2019,13365.66000
            工业增加值（亿元）,    贵州,2018,4165.50000
            工业增加值（亿元）,    贵州,2019,4545.97000
            工业增加值（亿元）,    云南,2018,4911.70000
            工业增加值（亿元）,    云南,2019,5301.51000
            工业增加值（亿元）,    西藏,2018,127.00000
            工业增加值（亿元）,    西藏,2019,131.72000
            工业增加值（亿元）,    陕西,2018,9088.10000
            工业增加值（亿元）,    陕西,2019,9609.70000
            工业增加值（亿元）,    甘肃,2018,2253.40000
            工业增加值（亿元）,    甘肃,2019,2319.75000
            工业增加值（亿元）,    青海,2018,777.50000
            工业增加值（亿元）,    青海,2019,817.49000
            工业增加值（亿元）,    宁夏,2018,1191.00000
            工业增加值（亿元）,    宁夏,2019,1270.02000
            工业增加值（亿元）,    新疆,2018,3758.50000
            工业增加值（亿元）,    新疆,2019,3861.66000
            建筑业增加值（亿元）,    北京,2018,1387.80000
            建筑业增加值（亿元）,    北京,2019,1513.67000
            建筑业增加值（亿元）,    天津,2018,674.10000
            建筑业增加值（亿元）,    天津,2019,693.76000
            建筑业增加值（亿元）,    河北,2018,2007.90000
            建筑业增加值（亿元）,    河北,2019,2129.89000
            建筑业增加值（亿元）,    山西,2018,819.90000
            建筑业增加值（亿元）,    山西,2019,894.76000
            建筑业增加值（亿元）,    内蒙古,2018,1231.20000
            建筑业增加值（亿元）,    内蒙古,2019,1304.54000
            建筑业增加值（亿元）,    辽宁,2018,1433.90000
            建筑业增加值（亿元）,    辽宁,2019,1482.05000
            建筑业增加值（亿元）,    吉林,2018,785.60000
            建筑业增加值（亿元）,    吉林,2019,808.63000
            建筑业增加值（亿元）,    黑龙江,2018,409.40000
            建筑业增加值（亿元）,    黑龙江,2019,419.16000
            建筑业增加值（亿元）,    上海,2018,685.70000
            建筑业增加值（亿元）,    上海,2019,716.16000
            建筑业增加值（亿元）,    江苏,2018,6063.70000
            建筑业增加值（亿元）,    江苏,2019,6493.54000
            建筑业增加值（亿元）,    浙江,2018,3737.60000
            建筑业增加值（亿元）,    浙江,2019,3779.55000
            建筑业增加值（亿元）,    安徽,2018,3476.90000
            建筑业增加值（亿元）,    安徽,2019,3905.71000
            建筑业增加值（亿元）,    福建,2018,4131.40000
            建筑业增加值（亿元）,    福建,2019,4482.03000
            建筑业增加值（亿元）,    江西,2018,1823.40000
            建筑业增加值（亿元）,    江西,2019,1980.99000
            建筑业增加值（亿元）,    山东,2018,5024.90000
            建筑业增加值（亿元）,    山东,2019,5441.91000
            建筑业增加值（亿元）,    河南,2018,4790.80000
            建筑业增加值（亿元）,    河南,2019,5272.97000
            建筑业增加值（亿元）,    湖北,2018,2781.40000
            建筑业增加值（亿元）,    湖北,2019,3073.13000
            建筑业增加值（亿元）,    湖南,2018,3128.30000
            建筑业增加值（亿元）,    湖南,2019,3327.00000
            建筑业增加值（亿元）,    广东,2018,3849.80000
            建筑业增加值（亿元）,    广东,2019,4255.07000
            建筑业增加值（亿元）,    广西,2018,1606.60000
            建筑业增加值（亿元）,    广西,2019,1816.05000
            建筑业增加值（亿元）,    海南,2018,475.20000
            建筑业增加值（亿元）,    海南,2019,514.47000
            建筑业增加值（亿元）,    重庆,2018,2574.10000
            建筑业增加值（亿元）,    重庆,2019,2840.12000
            建筑业增加值（亿元）,    四川,2018,3809.80000
            建筑业增加值（亿元）,    四川,2019,4123.48000
            建筑业增加值（亿元）,    贵州,2018,1344.90000
            建筑业增加值（亿元）,    贵州,2019,1517.06000
            建筑业增加值（亿元）,    云南,2018,2360.00000
            建筑业增加值（亿元）,    云南,2019,2664.64000
            建筑业增加值（亿元）,    西藏,2018,455.80000
            建筑业增加值（亿元）,    西藏,2019,503.90000
            建筑业增加值（亿元）,    陕西,2018,2233.00000
            建筑业增加值（亿元）,    陕西,2019,2482.96000
            建筑业增加值（亿元）,    甘肃,2018,518.20000
            建筑业增加值（亿元）,    甘肃,2019,552.99000
            建筑业增加值（亿元）,    青海,2018,316.20000
            建筑业增加值（亿元）,    青海,2019,342.26000
            建筑业增加值（亿元）,    宁夏,2018,298.50000
            建筑业增加值（亿元）,    宁夏,2019,316.17000
            建筑业增加值（亿元）,    新疆,2018,987.80000
            建筑业增加值（亿元）,    新疆,2019,1037.29000
        第三产业增加值（亿元）,    北京,2018,24553.64000
        第三产业增加值（亿元）,    北京,2019,29542.53000
        第三产业增加值（亿元）,    天津,2018,11027.12000
        第三产业增加值（亿元）,    天津,2019,8949.87000
        第三产业增加值（亿元）,    河北,2018,16632.21000
        第三产业增加值（亿元）,    河北,2019,17988.82000
        第三产业增加值（亿元）,    山西,2018,8988.28000
        第三产业增加值（亿元）,    山西,2019,8748.87000
        第三产业增加值（亿元）,    内蒙古,2018,8728.10000
        第三产业增加值（亿元）,    内蒙古,2019,8530.46000
        第三产业增加值（亿元）,    辽宁,2018,13256.95000
        第三产业增加值（亿元）,    辽宁,2019,13200.44000
        第三产业增加值（亿元）,    吉林,2018,7503.02000
        第三产业增加值（亿元）,    吉林,2019,6304.68000
        第三产业增加值（亿元）,    黑龙江,2018,9329.72000
        第三产业增加值（亿元）,    黑龙江,2019,6815.03000
        第三产业增加值（亿元）,    上海,2018,22842.96000
        第三产业增加值（亿元）,    上海,2019,27752.28000
        第三产业增加值（亿元）,    江苏,2018,47205.16000
        第三产业增加值（亿元）,    江苏,2019,51064.73000
        第三产业增加值（亿元）,    浙江,2018,30724.26000
        第三产业增加值（亿元）,    浙江,2019,33687.76000
        第三产业增加值（亿元）,    安徽,2018,13526.72000
