指标,地区,时间,数值
            总人口（万人）,北京,1994,1125.00000
            总人口（万人）,天津,1994,935.00000
            总人口（万人）,河北,1994,6388.00000
            总人口（万人）,山西,1994,3045.00000
            总人口（万人）,内蒙古,1994,2260.00000
            总人口（万人）,辽宁,1994,4067.00000
            总人口（万人）,吉林,1994,2574.00000
            总人口（万人）,黑龙江,1994,3672.00000
            总人口（万人）,上海,1994,1356.00000
            总人口（万人）,江苏,1994,7021.00000
            总人口（万人）,浙江,1994,4294.00000
            总人口（万人）,安徽,1994,5955.00000
            总人口（万人）,福建,1994,3183.00000
            总人口（万人）,江西,1994,4015.00000
            总人口（万人）,山东,1994,8671.00000
            总人口（万人）,河南,1994,9027.00000
            总人口（万人）,湖北,1994,5719.00000
            总人口（万人）,湖南,1994,6355.00000
            总人口（万人）,广东,1994,6689.00000
            总人口（万人）,广西,1994,4493.00000
            总人口（万人）,海南,1994,711.00000
            总人口（万人）,重庆,1994,2985.59000
            总人口（万人）,四川,1994,8098.70000
            总人口（万人）,贵州,1994,3458.00000
            总人口（万人）,云南,1994,3939.20000
            总人口（万人）,西藏,1994,236.00000
            总人口（万人）,陕西,1994,3481.00000
            总人口（万人）,甘肃,1994,2378.00000
            总人口（万人）,青海,1994,474.00000
            总人口（万人）,宁夏,1994,504.00000
            总人口（万人）,新疆,1994,1632.00000
            城镇人口数（万人）,北京,1994,846.00000
            城镇人口数（万人）,天津,1994,504.03000
            城镇人口数（万人）,山西,1994,908.08162
            城镇人口数（万人）,内蒙古,1994,849.30000
            城镇人口数（万人）,辽宁,1994,1770.00000
            城镇人口数（万人）,吉林,1994,2197.10000
            城镇人口数（万人）,黑龙江,1994,1924.90000
            城镇人口数（万人）,上海,1994,388.32000
            城镇人口数（万人）,江苏,1994,1733.01000
            城镇人口数（万人）,江西,1994,935.03670
            城镇人口数（万人）,山东,1994,2079.00000
            城镇人口数（万人）,河南,1994,1520.14680
            城镇人口数（万人）,湖北,1994,1604.13000
            城镇人口数（万人）,湖南,1994,1356.56000
            城镇人口数（万人）,广西,1994,2728.00000
            城镇人口数（万人）,海南,1994,140.81000
            城镇人口数（万人）,贵州,1994,2371.06000
            城镇人口数（万人）,云南,1994,1782.10000
            城镇人口数（万人）,西藏,1994,37.84000
            城镇人口数（万人）,甘肃,1994,548.23000
            城镇人口数（万人）,青海,1994,160.90000
            城镇人口数（万人）,宁夏,1994,134.32000
            城镇人口数（万人）,新疆,1994,785.43000
            城镇人口所占比率（%）,安徽,1994,18.78000
            乡村人口数（万人）,北京,1994,279.00000
            乡村人口数（万人）,天津,1994,386.51000
            乡村人口数（万人）,山西,1994,2137.12838
            乡村人口数（万人）,内蒙古,1994,1411.20000
            乡村人口数（万人）,辽宁,1994,2237.00000
            乡村人口数（万人）,吉林,1994,318.50000
            乡村人口数（万人）,黑龙江,1994,1747.10000
            乡村人口数（万人）,上海,1994,910.49000
            乡村人口数（万人）,江苏,1994,5287.53000
            乡村人口数（万人）,江西,1994,3080.40920
            乡村人口数（万人）,山东,1994,6574.00000
            乡村人口数（万人）,河南,1994,7506.85320
            乡村人口数（万人）,湖北,1994,4114.68000
            乡村人口数（万人）,湖南,1994,4946.02000
            乡村人口数（万人）,广西,1994,1727.00000
            乡村人口数（万人）,海南,1994,550.58000
            乡村人口数（万人）,贵州,1994,1087.35000
            乡村人口数（万人）,云南,1994,2157.10000
            乡村人口数（万人）,西藏,1994,191.04000
            乡村人口数（万人）,甘肃,1994,1839.02000
            乡村人口数（万人）,青海,1994,313.10000
            乡村人口数（万人）,宁夏,1994,369.55000
            乡村人口数（万人）,新疆,1994,847.27000
            乡村人口所占比率（%）,安徽,1994,81.22000
            户籍人口（万人）,天津,1994,890.55000
            户籍人口（万人）,辽宁,1994,4007.00000
            户籍人口（万人）,吉林,1994,2515.60000
            户籍人口（万人）,安徽,1994,5938.00000
            户籍人口（万人）,湖南,1994,6302.58000
            户籍人口（万人）,广西,1994,4493.00000
            户籍人口（万人）,重庆,1994,2985.59000
            户籍人口（万人）,贵州,1994,3458.41000
            户籍人口（万人）,宁夏,1994,503.87000
            人口出生率（‰）,北京,1994,8.96000
