指标,地区,时间,数值
            总人口（万人）,北京,1986,1028.00000
            总人口（万人）,天津,1986,814.97000
            总人口（万人）,河北,1986,5627.00000
            总人口（万人）,山西,1986,2713.53000
            总人口（万人）,内蒙古,1986,2040.70000
            总人口（万人）,辽宁,1986,3726.00000
            总人口（万人）,吉林,1986,2315.30000
            总人口（万人）,黑龙江,1986,3385.00000
            总人口（万人）,上海,1986,1232.33000
            总人口（万人）,江苏,1986,6269.90000
            总人口（万人）,浙江,1986,4070.07000
            总人口（万人）,安徽,1986,5217.00000
            总人口（万人）,福建,1986,2820.00000
            总人口（万人）,江西,1986,3575.76000
            总人口（万人）,山东,1986,7777.00000
            总人口（万人）,河南,1986,7985.00000
            总人口（万人）,湖北,1986,5047.83000
            总人口（万人）,湖南,1986,5695.73000
            总人口（万人）,广东,1986,5740.71000
            总人口（万人）,广西,1986,3946.00000
            总人口（万人）,海南,1986,605.63000
            总人口（万人）,重庆,1986,2807.60000
            总人口（万人）,四川,1986,7511.90000
            总人口（万人）,贵州,1986,3025.86000
            总人口（万人）,云南,1986,3480.00000
            总人口（万人）,西藏,1986,199.48000
            总人口（万人）,陕西,1986,3042.63000
            总人口（万人）,甘肃,1986,2085.39000
            总人口（万人）,青海,1986,421.12000
            总人口（万人）,宁夏,1986,424.33000
            总人口（万人）,新疆,1986,1383.64000
            城镇人口数（万人）,北京,1986,621.00000
            城镇人口数（万人）,天津,1986,447.05000
            城镇人口数（万人）,山西,1986,682.72415
            城镇人口数（万人）,内蒙古,1986,932.20000
            城镇人口数（万人）,辽宁,1986,1509.00000
            城镇人口数（万人）,吉林,1986,1470.70000
            城镇人口数（万人）,黑龙江,1986,1485.30000
            城镇人口数（万人）,上海,1986,429.77000
            城镇人口数（万人）,江苏,1986,2059.47000
            城镇人口数（万人）,江西,1986,711.21940
            城镇人口数（万人）,山东,1986,979.00000
            城镇人口数（万人）,河南,1986,1196.15300
            城镇人口数（万人）,湖北,1986,1187.23000
            城镇人口数（万人）,湖南,1986,963.15000
            城镇人口数（万人）,广东,1986,1254.57000
            城镇人口数（万人）,广西,1986,1506.00000
            城镇人口数（万人）,海南,1986,73.60000
            城镇人口数（万人）,贵州,1986,909.55000
            城镇人口数（万人）,云南,1986,1007.50000
            城镇人口数（万人）,西藏,1986,20.53000
            城镇人口数（万人）,甘肃,1986,389.58000
            城镇人口数（万人）,青海,1986,140.75000
            城镇人口数（万人）,宁夏,1986,91.07000
            城镇人口数（万人）,新疆,1986,613.34000
            城镇人口所占比率（%）,安徽,1986,16.56000
            乡村人口数（万人）,北京,1986,407.00000
            乡村人口数（万人）,天津,1986,367.92000
            乡村人口数（万人）,山西,1986,2030.80585
            乡村人口数（万人）,内蒙古,1986,1108.50000
            乡村人口数（万人）,辽宁,1986,2217.00000
            乡村人口数（万人）,吉林,1986,844.60000
            乡村人口数（万人）,黑龙江,1986,1899.70000
            乡村人口数（万人）,上海,1986,802.56000
            乡村人口数（万人）,江苏,1986,4210.43000
            乡村人口数（万人）,江西,1986,2864.54430
            乡村人口数（万人）,山东,1986,6797.00000
            乡村人口数（万人）,河南,1986,6788.84700
            乡村人口数（万人）,湖北,1986,3860.60000
            乡村人口数（万人）,湖南,1986,4732.58000
            乡村人口数（万人）,广东,1986,4486.14000
            乡村人口数（万人）,广西,1986,2440.00000
            乡村人口数（万人）,海南,1986,532.03000
            乡村人口数（万人）,贵州,1986,2116.31000
            乡村人口数（万人）,云南,1986,2472.50000
            乡村人口数（万人）,西藏,1986,178.95000
            乡村人口数（万人）,甘肃,1986,1695.81000
            乡村人口数（万人）,青海,1986,280.37000
            乡村人口数（万人）,宁夏,1986,333.26000
            乡村人口数（万人）,新疆,1986,770.30000
            乡村人口所占比率（%）,安徽,1986,83.44000
            户籍人口（万人）,天津,1986,814.97000
            户籍人口（万人）,内蒙古,1986,2040.70000
            户籍人口（万人）,辽宁,1986,3726.00000
            户籍人口（万人）,吉林,1986,2315.30000
            户籍人口（万人）,江苏,1986,6269.90000
            户籍人口（万人）,浙江,1986,4070.07000
            户籍人口（万人）,安徽,1986,5217.00000
            户籍人口（万人）,湖南,1986,5695.73000
            户籍人口（万人）,广西,1986,3946.00000
            户籍人口（万人）,海南,1986,605.63000
            户籍人口（万人）,重庆,1986,2807.60000
            户籍人口（万人）,贵州,1986,3025.86000
            户籍人口（万人）,西藏,1986,199.48000
            户籍人口（万人）,陕西,1986,3042.00000
            户籍人口（万人）,宁夏,1986,424.33000
            户籍人口（万人）,新疆,1986,1383.64000
            人口出生率（‰）,北京,1986,15.82000
            人口出生率（‰）,天津,1986,15.00000
            人口出生率（‰）,河北,1986,20.40000
            人口出生率（‰）,山西,1986,20.28000
            人口出生率（‰）,内蒙古,1986,19.10000
            人口出生率（‰）,辽宁,1986,14.80000
            人口出生率（‰）,吉林,1986,13.70000
            人口出生率（‰）,黑龙江,1986,16.31000
            人口出生率（‰）,上海,1986,14.50000
            人口出生率（‰）,江苏,1986,13.20000
            人口出生率（‰）,浙江,1986,15.96000
            人口出生率（‰）,安徽,1986,17.90000
            人口出生率（‰）,福建,1986,24.02000
            人口出生率（‰）,江西,1986,24.15000
            人口出生率（‰）,山东,1986,19.90000
            人口出生率（‰）,河南,1986,23.65000
            人口出生率（‰）,湖北,1986,21.01000
            人口出生率（‰）,湖南,1986,19.90000
            人口出生率（‰）,广东,1986,22.15000
            人口出生率（‰）,广西,1986,27.08000
            人口出生率（‰）,海南,1986,15.23000
            人口出生率（‰）,重庆,1986,19.54000
            人口出生率（‰）,四川,1986,20.50000
            人口出生率（‰）,贵州,1986,24.11000
            人口出生率（‰）,云南,1986,26.03000
            人口出生率（‰）,西藏,1986,23.30000
            人口出生率（‰）,陕西,1986,17.03000
            人口出生率（‰）,甘肃,1986,21.14000
            人口出生率（‰）,青海,1986,24.94000
            人口出生率（‰）,宁夏,1986,25.49000
            人口出生率（‰）,新疆,1986,20.54000
            人口死亡率（‰）,北京,1986,4.47000
            人口死亡率（‰）,天津,1986,5.71000
            人口死亡率（‰）,河北,1986,6.10000
            人口死亡率（‰）,山西,1986,6.48000
            人口死亡率（‰）,内蒙古,1986,5.90000
            人口死亡率（‰）,辽宁,1986,5.20000
            人口死亡率（‰）,吉林,1986,5.38000
            人口死亡率（‰）,黑龙江,1986,5.45000
            人口死亡率（‰）,上海,1986,6.50000
            人口死亡率（‰）,江苏,1986,5.80000
            人口死亡率（‰）,浙江,1986,5.94000
            人口死亡率（‰）,安徽,1986,6.60000
            人口死亡率（‰）,福建,1986,5.85000
            人口死亡率（‰）,江西,1986,5.53000
            人口死亡率（‰）,山东,1986,7.28000
            人口死亡率（‰）,河南,1986,6.44000
            人口死亡率（‰）,湖北,1986,7.74000
            人口死亡率（‰）,湖南,1986,6.30000
            人口死亡率（‰）,广东,1986,5.70000
            人口死亡率（‰）,广西,1986,6.68000
            人口死亡率（‰）,海南,1986,4.05000
            人口死亡率（‰）,重庆,1986,6.59000
            人口死亡率（‰）,四川,1986,6.90000
            人口死亡率（‰）,贵州,1986,6.05000
            人口死亡率（‰）,云南,1986,7.87000
            人口死亡率（‰）,西藏,1986,10.10000
            人口死亡率（‰）,陕西,1986,5.71000
            人口死亡率（‰）,甘肃,1986,5.91000
            人口死亡率（‰）,青海,1986,6.01000
            人口死亡率（‰）,宁夏,1986,4.54000
            人口死亡率（‰）,新疆,1986,6.13000
            人口自然增长率（‰）,北京,1986,11.35000
            人口自然增长率（‰）,天津,1986,9.29000
            人口自然增长率（‰）,河北,1986,14.30000
            人口自然增长率（‰）,山西,1986,13.80000
            人口自然增长率（‰）,内蒙古,1986,13.20000
            人口自然增长率（‰）,辽宁,1986,9.60000
            人口自然增长率（‰）,吉林,1986,8.32000
            人口自然增长率（‰）,黑龙江,1986,10.86000
            人口自然增长率（‰）,上海,1986,8.00000
            人口自然增长率（‰）,江苏,1986,7.40000
            人口自然增长率（‰）,浙江,1986,10.02000
            人口自然增长率（‰）,安徽,1986,11.30000
            人口自然增长率（‰）,福建,1986,18.17000
            人口自然增长率（‰）,江西,1986,18.62000
            人口自然增长率（‰）,山东,1986,12.62000
            人口自然增长率（‰）,河南,1986,17.21000
            人口自然增长率（‰）,湖北,1986,13.27000
            人口自然增长率（‰）,湖南,1986,13.60000
            人口自然增长率（‰）,广东,1986,16.45000
            人口自然增长率（‰）,广西,1986,20.40000
            人口自然增长率（‰）,海南,1986,11.18000
            人口自然增长率（‰）,重庆,1986,12.95000
            人口自然增长率（‰）,四川,1986,13.60000
            人口自然增长率（‰）,贵州,1986,18.06000
            人口自然增长率（‰）,云南,1986,18.16000
            人口自然增长率（‰）,西藏,1986,13.20000
            人口自然增长率（‰）,陕西,1986,11.32000
            人口自然增长率（‰）,甘肃,1986,15.23000
            人口自然增长率（‰）,青海,1986,18.93000
            人口自然增长率（‰）,宁夏,1986,20.95000
            人口自然增长率（‰）,新疆,1986,14.41000

数据来源：<p>中国国家统计局</p>
由EPS DATA整理
