指标,地区,时间,数值
            总人口（万人）,北京,2000,1363.60000
            总人口（万人）,天津,2000,1001.00000
            总人口（万人）,河北,2000,6674.00000
            总人口（万人）,山西,2000,3247.00000
            总人口（万人）,内蒙古,2000,2372.00000
            总人口（万人）,辽宁,2000,4184.00000
            总人口（万人）,吉林,2000,2682.00000
            总人口（万人）,黑龙江,2000,3807.00000
            总人口（万人）,上海,2000,1609.00000
            总人口（万人）,江苏,2000,7327.00000
            总人口（万人）,浙江,2000,4680.00000
            总人口（万人）,安徽,2000,6093.00000
            总人口（万人）,福建,2000,3410.00000
            总人口（万人）,江西,2000,4148.50000
            总人口（万人）,山东,2000,8997.00000
            总人口（万人）,河南,2000,9488.00000
            总人口（万人）,湖北,2000,5646.00000
            总人口（万人）,湖南,2000,6562.00000
            总人口（万人）,广东,2000,8650.03000
            总人口（万人）,广西,2000,4751.00000
            总人口（万人）,海南,2000,788.05000
            总人口（万人）,重庆,2000,2848.82000
            总人口（万人）,四川,2000,8329.00000
            总人口（万人）,贵州,2000,3756.00000
            总人口（万人）,云南,2000,4240.80000
            总人口（万人）,西藏,2000,258.00000
            总人口（万人）,陕西,2000,3644.00000
            总人口（万人）,甘肃,2000,2515.00000
            总人口（万人）,青海,2000,516.50000
            总人口（万人）,宁夏,2000,554.00000
            总人口（万人）,新疆,2000,1849.00000
            城镇人口数（万人）,北京,2000,1057.40000
            城镇人口数（万人）,天津,2000,532.51000
            城镇人口数（万人）,河北,2000,1741.00000
            城镇人口数（万人）,山西,2000,1165.31064
            城镇人口数（万人）,内蒙古,2000,1001.10000
            城镇人口数（万人）,辽宁,2000,1902.00000
            城镇人口数（万人）,吉林,2000,2330.50000
            城镇人口数（万人）,黑龙江,2000,1977.40000
            城镇人口数（万人）,上海,2000,335.47000
            城镇人口数（万人）,江苏,2000,3040.81000
            城镇人口数（万人）,浙江,2000,2279.11617
            城镇人口数（万人）,福建,2000,1431.00000
            城镇人口数（万人）,江西,2000,1148.73200
            城镇人口数（万人）,山东,2000,2409.00000
            城镇人口数（万人）,河南,2000,2201.21600
            城镇人口数（万人）,湖北,2000,2412.20000
            城镇人口数（万人）,湖南,2000,1952.21000
            城镇人口数（万人）,广东,2000,4743.23920
            城镇人口数（万人）,广西,2000,3575.00000
            城镇人口数（万人）,海南,2000,185.50000
            城镇人口数（万人）,重庆,2000,1013.88000
            城镇人口数（万人）,贵州,2000,896.49000
            城镇人口数（万人）,云南,2000,990.60000
            城镇人口数（万人）,西藏,2000,66.87000
            城镇人口数（万人）,陕西,2000,1176.00000
            城镇人口数（万人）,甘肃,2000,613.91000
            城镇人口数（万人）,青海,2000,179.54000
            城镇人口数（万人）,宁夏,2000,180.39000
            城镇人口数（万人）,新疆,2000,624.18000
            城镇人口所占比率（%）,安徽,2000,28.00000
            乡村人口数（万人）,北京,2000,306.20000
            乡村人口数（万人）,天津,2000,379.50000
            乡村人口数（万人）,河北,2000,4933.00000
