指标,地区,时间,数值
            总人口（万人）,北京,1991,1094.00000
            总人口（万人）,天津,1991,909.00000
            总人口（万人）,河北,1991,6220.00000
            总人口（万人）,山西,1991,2942.00000
            总人口（万人）,内蒙古,1991,2184.00000
            总人口（万人）,辽宁,1991,3990.00000
            总人口（万人）,吉林,1991,2509.00000
            总人口（万人）,黑龙江,1991,3575.00000
            总人口（万人）,上海,1991,1340.00000
            总人口（万人）,江苏,1991,6844.00000
            总人口（万人）,浙江,1991,4202.00000
            总人口（万人）,安徽,1991,5761.00000
            总人口（万人）,福建,1991,3079.00000
            总人口（万人）,江西,1991,3865.00000
            总人口（万人）,山东,1991,8570.00000
            总人口（万人）,河南,1991,8763.00000
            总人口（万人）,湖北,1991,5512.00000
            总人口（万人）,湖南,1991,6209.00000
            总人口（万人）,广东,1991,6439.00000
            总人口（万人）,广西,1991,4324.00000
            总人口（万人）,海南,1991,674.00000
            总人口（万人）,重庆,1991,2938.99000
            总人口（万人）,四川,1991,7947.80000
            总人口（万人）,贵州,1991,3315.00000
            总人口（万人）,云南,1991,3782.10000
            总人口（万人）,西藏,1991,226.00000
            总人口（万人）,陕西,1991,3363.00000
            总人口（万人）,甘肃,1991,2285.00000
            总人口（万人）,青海,1991,454.43000
            总人口（万人）,宁夏,1991,480.00000
            总人口（万人）,新疆,1991,1555.00000
            城镇人口数（万人）,北京,1991,808.00000
            城镇人口数（万人）,天津,1991,490.32000
            城镇人口数（万人）,山西,1991,854.90452
            城镇人口数（万人）,内蒙古,1991,807.40000
            城镇人口数（万人）,辽宁,1991,1665.00000
            城镇人口数（万人）,吉林,1991,1908.30000
            城镇人口数（万人）,黑龙江,1991,1753.20000
            城镇人口数（万人）,上海,1991,417.32000
            城镇人口数（万人）,江苏,1991,1587.74000
            城镇人口数（万人）,江西,1991,814.82010
            城镇人口数（万人）,山东,1991,1650.00000
            城镇人口数（万人）,河南,1991,1388.93550
            城镇人口数（万人）,湖北,1991,1433.06000
            城镇人口数（万人）,湖南,1991,1147.86000
            城镇人口数（万人）,广西,1991,2063.00000
            城镇人口数（万人）,海南,1991,122.16000
            城镇人口数（万人）,贵州,1991,1238.48000
            城镇人口数（万人）,云南,1991,1555.20000
            城镇人口数（万人）,西藏,1991,35.68000
            城镇人口数（万人）,甘肃,1991,508.76000
            城镇人口数（万人）,青海,1991,155.11000
            城镇人口数（万人）,宁夏,1991,113.89000
            城镇人口数（万人）,新疆,1991,698.79000
            城镇人口所占比率（%）,安徽,1991,17.96000
            乡村人口数（万人）,北京,1991,286.00000
            乡村人口数（万人）,天津,1991,382.31000
            乡村人口数（万人）,山西,1991,2086.95548
            乡村人口数（万人）,内蒙古,1991,1376.40000
            乡村人口数（万人）,辽宁,1991,2274.00000
            乡村人口数（万人）,吉林,1991,551.40000
            乡村人口数（万人）,黑龙江,1991,1821.80000
            乡村人口数（万人）,上海,1991,869.88000
            乡村人口数（万人）,江苏,1991,5255.96000
