指标,地区,时间,数值
            总人口（万人）,北京,1990,1086.00000
            总人口（万人）,天津,1990,884.00000
            总人口（万人）,河北,1990,6159.00000
            总人口（万人）,山西,1990,2899.00000
            总人口（万人）,内蒙古,1990,2163.00000
            总人口（万人）,辽宁,1990,3967.00000
            总人口（万人）,吉林,1990,2483.00000
            总人口（万人）,黑龙江,1990,3543.00000
            总人口（万人）,上海,1990,1337.00000
            总人口（万人）,江苏,1990,6767.00000
            总人口（万人）,浙江,1990,4168.00000
            总人口（万人）,安徽,1990,5675.00000
            总人口（万人）,福建,1990,3037.00000
            总人口（万人）,江西,1990,3810.00000
            总人口（万人）,山东,1990,8493.00000
            总人口（万人）,河南,1990,8649.00000
            总人口（万人）,湖北,1990,5439.00000
            总人口（万人）,湖南,1990,6128.00000
            总人口（万人）,广东,1990,6346.00000
            总人口（万人）,广西,1990,4261.00000
            总人口（万人）,海南,1990,663.00000
            总人口（万人）,重庆,1990,2920.90000
            总人口（万人）,四川,1990,7892.50000
            总人口（万人）,贵州,1990,3268.00000
            总人口（万人）,云南,1990,3730.60000
            总人口（万人）,西藏,1990,222.00000
            总人口（万人）,陕西,1990,3316.00000
            总人口（万人）,甘肃,1990,2255.00000
            总人口（万人）,青海,1990,447.66000
            总人口（万人）,宁夏,1990,470.00000
            总人口（万人）,新疆,1990,1529.00000
            城镇人口数（万人）,北京,1990,798.00000
            城镇人口数（万人）,天津,1990,485.44000
            城镇人口数（万人）,河北,1990,1183.00000
            城镇人口数（万人）,山西,1990,837.79944
            城镇人口数（万人）,内蒙古,1990,781.10000
            城镇人口数（万人）,辽宁,1990,1645.00000
            城镇人口数（万人）,吉林,1990,1888.10000
            城镇人口数（万人）,黑龙江,1990,1699.20000
            城镇人口数（万人）,上海,1990,418.89000
            城镇人口数（万人）,江苏,1990,1458.94000
            城镇人口数（万人）,江西,1990,775.46560
            城镇人口数（万人）,山东,1990,1578.00000
            城镇人口数（万人）,河南,1990,1342.32480
            城镇人口数（万人）,湖北,1990,1551.51000
            城镇人口数（万人）,湖南,1990,1072.46000
            城镇人口数（万人）,广西,1990,1960.00000
            城镇人口数（万人）,海南,1990,118.33000
            城镇人口数（万人）,贵州,1990,1083.67000
            城镇人口数（万人）,云南,1990,1510.10000
            城镇人口数（万人）,西藏,1990,36.09000
            城镇人口数（万人）,甘肃,1990,496.25000
            城镇人口数（万人）,青海,1990,153.22000
            城镇人口数（万人）,宁夏,1990,111.39000
            城镇人口数（万人）,新疆,1990,685.96000
            城镇人口所占比率（%）,安徽,1990,17.94000
            乡村人口数（万人）,北京,1990,288.00000
            乡村人口数（万人）,天津,1990,380.81000
            乡村人口数（万人）,河北,1990,4976.00000
            乡村人口数（万人）,山西,1990,2061.16056
            乡村人口数（万人）,内蒙古,1990,1381.40000
            乡村人口数（万人）,辽宁,1990,2272.00000
            乡村人口数（万人）,吉林,1990,552.20000
            乡村人口数（万人）,黑龙江,1990,1843.80000
            乡村人口数（万人）,上海,1990,864.46000
            乡村人口数（万人）,江苏,1990,5307.96000
            乡村人口数（万人）,江西,1990,3035.17620
            乡村人口数（万人）,山东,1990,6846.00000
            乡村人口数（万人）,河南,1990,7306.67520
            乡村人口数（万人）,湖北,1990,3887.78000
            乡村人口数（万人）,湖南,1990,5038.43000
            乡村人口数（万人）,广西,1990,2282.00000
            乡村人口数（万人）,海南,1990,532.90000
            乡村人口数（万人）,贵州,1990,2183.86000
            乡村人口数（万人）,云南,1990,2220.50000
            乡村人口数（万人）,西藏,1990,179.82000
            乡村人口数（万人）,甘肃,1990,1758.42000
            乡村人口数（万人）,青海,1990,294.44000
            乡村人口数（万人）,宁夏,1990,354.29000
            乡村人口数（万人）,新疆,1990,843.20000
            乡村人口所占比率（%）,安徽,1990,82.06000
            户籍人口（万人）,天津,1990,866.25000
            户籍人口（万人）,辽宁,1990,3917.00000
            户籍人口（万人）,吉林,1990,2440.20000
            户籍人口（万人）,安徽,1990,5661.00000
            户籍人口（万人）,湖南,1990,6110.89000
            户籍人口（万人）,广西,1990,4242.00000
            户籍人口（万人）,重庆,1990,2920.90000
            户籍人口（万人）,贵州,1990,3267.53000
            户籍人口（万人）,宁夏,1990,465.68000
            人口出生率（‰）,北京,1990,13.04000
            人口出生率（‰）,天津,1990,15.62000
            人口出生率（‰）,河北,1990,20.50000
            人口出生率（‰）,山西,1990,22.54000
            人口出生率（‰）,内蒙古,1990,21.20000
            人口出生率（‰）,辽宁,1990,14.50000
            人口出生率（‰）,吉林,1990,19.49000
            人口出生率（‰）,黑龙江,1990,18.11000
            人口出生率（‰）,上海,1990,10.20000
            人口出生率（‰）,江苏,1990,20.54000
            人口出生率（‰）,浙江,1990,15.33000
            人口出生率（‰）,安徽,1990,24.47000
            人口出生率（‰）,福建,1990,24.44000
            人口出生率（‰）,江西,1990,24.59000
            人口出生率（‰）,山东,1990,18.21000
            人口出生率（‰）,河南,1990,24.92000
            人口出生率（‰）,湖北,1990,21.60000
            人口出生率（‰）,湖南,1990,23.93000
            人口出生率（‰）,广东,1990,22.26000
            人口出生率（‰）,广西,1990,20.20000
            人口出生率（‰）,海南,1990,24.88000
            人口出生率（‰）,重庆,1990,14.62000
            人口出生率（‰）,四川,1990,19.10000
            人口出生率（‰）,贵州,1990,23.09000
            人口出生率（‰）,云南,1990,23.60000
            人口出生率（‰）,西藏,1990,24.20000
            人口出生率（‰）,陕西,1990,23.48000
            人口出生率（‰）,甘肃,1990,20.68000
            人口出生率（‰）,青海,1990,24.34000
            人口出生率（‰）,宁夏,1990,24.34000
            人口出生率（‰）,新疆,1990,26.41000
            人口死亡率（‰）,北京,1990,5.81000
            人口死亡率（‰）,天津,1990,5.79000
            人口死亡率（‰）,河北,1990,6.80000
            人口死亡率（‰）,山西,1990,6.56000
            人口死亡率（‰）,内蒙古,1990,7.20000
            人口死亡率（‰）,辽宁,1990,5.70000
            人口死亡率（‰）,吉林,1990,5.65000
            人口死亡率（‰）,黑龙江,1990,6.35000
            人口死亡率（‰）,上海,1990,6.70000
            人口死亡率（‰）,江苏,1990,6.53000
            人口死亡率（‰）,浙江,1990,6.31000
            人口死亡率（‰）,安徽,1990,6.25000
            人口死亡率（‰）,福建,1990,6.71000
            人口死亡率（‰）,江西,1990,7.54000
            人口死亡率（‰）,山东,1990,6.96000
            人口死亡率（‰）,河南,1990,6.52000
            人口死亡率（‰）,湖北,1990,7.30000
            人口死亡率（‰）,湖南,1990,7.23000
            人口死亡率（‰）,广东,1990,5.76000
            人口死亡率（‰）,广西,1990,6.60000
            人口死亡率（‰）,海南,1990,6.28000
            人口死亡率（‰）,重庆,1990,6.73000
            人口死亡率（‰）,四川,1990,7.70000
            人口死亡率（‰）,贵州,1990,7.90000
            人口死亡率（‰）,云南,1990,7.92000
            人口死亡率（‰）,西藏,1990,8.00000
            人口死亡率（‰）,陕西,1990,6.52000
            人口死亡率（‰）,甘肃,1990,6.08000
            人口死亡率（‰）,青海,1990,7.47000
            人口死亡率（‰）,宁夏,1990,5.52000
            人口死亡率（‰）,新疆,1990,7.81000
            人口自然增长率（‰）,北京,1990,7.23000
            人口自然增长率（‰）,天津,1990,9.83000
            人口自然增长率（‰）,河北,1990,13.60000
            人口自然增长率（‰）,山西,1990,15.98000
            人口自然增长率（‰）,内蒙古,1990,14.00000
            人口自然增长率（‰）,辽宁,1990,8.80000
            人口自然增长率（‰）,吉林,1990,12.51000
            人口自然增长率（‰）,黑龙江,1990,11.76000
            人口自然增长率（‰）,上海,1990,3.50000
            人口自然增长率（‰）,江苏,1990,14.01000
            人口自然增长率（‰）,浙江,1990,9.02000
            人口自然增长率（‰）,安徽,1990,18.22000
            人口自然增长率（‰）,福建,1990,17.73000
            人口自然增长率（‰）,江西,1990,17.05000
            人口自然增长率（‰）,山东,1990,11.25000
            人口自然增长率（‰）,河南,1990,18.40000
            人口自然增长率（‰）,湖北,1990,14.30000
            人口自然增长率（‰）,湖南,1990,16.70000
            人口自然增长率（‰）,广东,1990,16.50000
            人口自然增长率（‰）,广西,1990,13.60000
            人口自然增长率（‰）,海南,1990,18.60000
