指标,地区,时间,数值
    全国上市公司数量（家）,北京,2011,197.00000
    全国上市公司数量（家）,北京,2012,220.00000
    全国上市公司数量（家）,天津,2011,37.00000
    全国上市公司数量（家）,天津,2012,38.00000
    全国上市公司数量（家）,河北,2011,47.00000
    全国上市公司数量（家）,河北,2012,48.00000
    全国上市公司数量（家）,山西,2011,34.00000
    全国上市公司数量（家）,山西,2012,34.00000
    全国上市公司数量（家）,内蒙古,2011,23.00000
    全国上市公司数量（家）,内蒙古,2012,25.00000
    全国上市公司数量（家）,辽宁,2011,37.00000
    全国上市公司数量（家）,辽宁,2012,44.00000
    全国上市公司数量（家）,吉林,2011,38.00000
    全国上市公司数量（家）,吉林,2012,38.00000
    全国上市公司数量（家）,黑龙江,2011,30.00000
    全国上市公司数量（家）,黑龙江,2012,31.00000
    全国上市公司数量（家）,上海,2011,193.00000
    全国上市公司数量（家）,上海,2012,202.00000
    全国上市公司数量（家）,江苏,2011,214.00000
    全国上市公司数量（家）,江苏,2012,236.00000
    全国上市公司数量（家）,浙江,2011,194.00000
    全国上市公司数量（家）,浙江,2012,210.00000
    全国上市公司数量（家）,安徽,2011,77.00000
    全国上市公司数量（家）,安徽,2012,77.00000
    全国上市公司数量（家）,福建,2011,54.00000
    全国上市公司数量（家）,福建,2012,59.00000
    全国上市公司数量（家）,江西,2011,31.00000
    全国上市公司数量（家）,江西,2012,32.00000
    全国上市公司数量（家）,山东,2011,129.00000
    全国上市公司数量（家）,山东,2012,136.00000
    全国上市公司数量（家）,河南,2011,63.00000
    全国上市公司数量（家）,河南,2012,66.00000
    全国上市公司数量（家）,湖北,2011,82.00000
    全国上市公司数量（家）,湖北,2012,84.00000
    全国上市公司数量（家）,湖南,2011,67.00000
    全国上市公司数量（家）,湖南,2012,72.00000
    全国上市公司数量（家）,广东,2011,167.00000
    全国上市公司数量（家）,广东,2012,185.00000
    全国上市公司数量（家）,广西,2011,29.00000
    全国上市公司数量（家）,广西,2012,30.00000
    全国上市公司数量（家）,海南,2011,25.00000
    全国上市公司数量（家）,海南,2012,26.00000
    全国上市公司数量（家）,重庆,2011,35.00000
    全国上市公司数量（家）,重庆,2012,37.00000
    全国上市公司数量（家）,四川,2011,86.00000
    全国上市公司数量（家）,四川,2012,90.00000
    全国上市公司数量（家）,贵州,2011,20.00000
    全国上市公司数量（家）,贵州,2012,21.00000
    全国上市公司数量（家）,云南,2011,28.00000
    全国上市公司数量（家）,云南,2012,28.00000
    全国上市公司数量（家）,西藏,2011,9.00000
    全国上市公司数量（家）,西藏,2012,10.00000
    全国上市公司数量（家）,陕西,2011,37.00000
    全国上市公司数量（家）,陕西,2012,39.00000
    全国上市公司数量（家）,甘肃,2011,24.00000
    全国上市公司数量（家）,甘肃,2012,25.00000
    全国上市公司数量（家）,青海,2011,10.00000
    全国上市公司数量（家）,青海,2012,10.00000
    全国上市公司数量（家）,宁夏,2011,12.00000
    全国上市公司数量（家）,宁夏,2012,12.00000
    全国上市公司数量（家）,新疆,2011,37.00000
    全国上市公司数量（家）,新疆,2012,39.00000
    全国上市公司数量（家）,深圳,2011,172.00000
    全国上市公司数量（家）,深圳,2012,184.00000
    全国上市公司数量（家）,大连,2011,26.00000
    全国上市公司数量（家）,大连,2012,24.00000
    全国上市公司数量（家）,宁波,2011,34.00000
    全国上市公司数量（家）,宁波,2012,37.00000
    全国上市公司数量（家）,厦门,2011,28.00000
    全国上市公司数量（家）,厦门,2012,29.00000
    全国上市公司数量（家）,青岛,2011,16.00000
    全国上市公司数量（家）,青岛,2012,16.00000
    上交所上市公司数量（家）,北京,2011,97.00000
    上交所上市公司数量（家）,北京,2012,100.00000
    上交所上市公司数量（家）,天津,2011,19.00000
    上交所上市公司数量（家）,天津,2012,19.00000
    上交所上市公司数量（家）,河北,2011,18.00000
    上交所上市公司数量（家）,河北,2012,18.00000
    上交所上市公司数量（家）,山西,2011,18.00000
    上交所上市公司数量（家）,山西,2012,18.00000
    上交所上市公司数量（家）,内蒙古,2011,16.00000
    上交所上市公司数量（家）,内蒙古,2012,16.00000
    上交所上市公司数量（家）,辽宁,2011,13.00000
    上交所上市公司数量（家）,辽宁,2012,14.00000
    上交所上市公司数量（家）,吉林,2011,17.00000
    上交所上市公司数量（家）,吉林,2012,17.00000
    上交所上市公司数量（家）,黑龙江,2011,23.00000
    上交所上市公司数量（家）,黑龙江,2012,23.00000
    上交所上市公司数量（家）,上海,2011,142.00000
    上交所上市公司数量（家）,上海,2012,145.00000
    上交所上市公司数量（家）,江苏,2011,77.00000
    上交所上市公司数量（家）,江苏,2012,80.00000
    上交所上市公司数量（家）,浙江,2011,57.00000
    上交所上市公司数量（家）,浙江,2012,58.00000
    上交所上市公司数量（家）,安徽,2011,29.00000
    上交所上市公司数量（家）,安徽,2012,29.00000
    上交所上市公司数量（家）,福建,2011,20.00000
    上交所上市公司数量（家）,福建,2012,20.00000
    上交所上市公司数量（家）,江西,2011,16.00000
    上交所上市公司数量（家）,江西,2012,15.00000
    上交所上市公司数量（家）,山东,2011,40.00000
    上交所上市公司数量（家）,山东,2012,39.00000
    上交所上市公司数量（家）,河南,2011,23.00000
    上交所上市公司数量（家）,河南,2012,26.00000
    上交所上市公司数量（家）,湖北,2011,37.00000
    上交所上市公司数量（家）,湖北,2012,37.00000
    上交所上市公司数量（家）,湖南,2011,20.00000
    上交所上市公司数量（家）,湖南,2012,20.00000
    上交所上市公司数量（家）,广东,2011,29.00000
    上交所上市公司数量（家）,广东,2012,32.00000
    上交所上市公司数量（家）,广西,2011,12.00000
    上交所上市公司数量（家）,广西,2012,12.00000
    上交所上市公司数量（家）,海南,2011,8.00000
    上交所上市公司数量（家）,海南,2012,8.00000
