指标,地区,时间,数值
    全国上市公司数量（家）,北京,2013,219.00000
    全国上市公司数量（家）,北京,2014,235.00000
    全国上市公司数量（家）,天津,2013,38.00000
    全国上市公司数量（家）,天津,2014,42.00000
    全国上市公司数量（家）,河北,2013,48.00000
    全国上市公司数量（家）,河北,2014,50.00000
    全国上市公司数量（家）,山西,2013,34.00000
    全国上市公司数量（家）,山西,2014,35.00000
    全国上市公司数量（家）,内蒙古,2013,25.00000
    全国上市公司数量（家）,内蒙古,2014,25.00000
    全国上市公司数量（家）,辽宁,2013,44.00000
    全国上市公司数量（家）,辽宁,2014,45.00000
    全国上市公司数量（家）,吉林,2013,38.00000
    全国上市公司数量（家）,吉林,2014,40.00000
    全国上市公司数量（家）,黑龙江,2013,31.00000
    全国上市公司数量（家）,黑龙江,2014,32.00000
    全国上市公司数量（家）,上海,2013,201.00000
    全国上市公司数量（家）,上海,2014,206.00000
    全国上市公司数量（家）,江苏,2013,235.00000
    全国上市公司数量（家）,江苏,2014,255.00000
    全国上市公司数量（家）,浙江,2013,210.00000
    全国上市公司数量（家）,浙江,2014,221.00000
    全国上市公司数量（家）,安徽,2013,77.00000
    全国上市公司数量（家）,安徽,2014,80.00000
    全国上市公司数量（家）,福建,2013,59.00000
    全国上市公司数量（家）,福建,2014,61.00000
    全国上市公司数量（家）,江西,2013,32.00000
    全国上市公司数量（家）,江西,2014,32.00000
    全国上市公司数量（家）,山东,2013,136.00000
    全国上市公司数量（家）,山东,2014,135.00000
    全国上市公司数量（家）,河南,2013,66.00000
    全国上市公司数量（家）,河南,2014,67.00000
    全国上市公司数量（家）,湖北,2013,84.00000
    全国上市公司数量（家）,湖北,2014,86.00000
    全国上市公司数量（家）,湖南,2013,72.00000
    全国上市公司数量（家）,湖南,2014,74.00000
    全国上市公司数量（家）,广东,2013,183.00000
    全国上市公司数量（家）,广东,2014,200.00000
    全国上市公司数量（家）,广西,2013,30.00000
    全国上市公司数量（家）,广西,2014,32.00000
    全国上市公司数量（家）,海南,2013,26.00000
    全国上市公司数量（家）,海南,2014,27.00000
    全国上市公司数量（家）,重庆,2013,37.00000
    全国上市公司数量（家）,重庆,2014,40.00000
    全国上市公司数量（家）,四川,2013,90.00000
    全国上市公司数量（家）,四川,2014,91.00000
    全国上市公司数量（家）,贵州,2013,21.00000
    全国上市公司数量（家）,贵州,2014,21.00000
    全国上市公司数量（家）,云南,2013,28.00000
    全国上市公司数量（家）,云南,2014,29.00000
    全国上市公司数量（家）,西藏,2013,10.00000
    全国上市公司数量（家）,西藏,2014,10.00000
    全国上市公司数量（家）,陕西,2013,39.00000
    全国上市公司数量（家）,陕西,2014,42.00000
    全国上市公司数量（家）,甘肃,2013,25.00000
    全国上市公司数量（家）,甘肃,2014,26.00000
    全国上市公司数量（家）,青海,2013,10.00000
    全国上市公司数量（家）,青海,2014,10.00000
    全国上市公司数量（家）,宁夏,2013,12.00000
    全国上市公司数量（家）,宁夏,2014,12.00000
    全国上市公司数量（家）,新疆,2013,39.00000
    全国上市公司数量（家）,新疆,2014,40.00000
    全国上市公司数量（家）,深圳,2013,184.00000
    全国上市公司数量（家）,深圳,2014,190.00000
    全国上市公司数量（家）,大连,2013,24.00000
    全国上市公司数量（家）,大连,2014,27.00000
    全国上市公司数量（家）,宁波,2013,37.00000
    全国上市公司数量（家）,宁波,2014,45.00000
    全国上市公司数量（家）,厦门,2013,29.00000
    全国上市公司数量（家）,厦门,2014,31.00000
    全国上市公司数量（家）,青岛,2013,16.00000
    全国上市公司数量（家）,青岛,2014,19.00000
    上交所上市公司数量（家）,北京,2013,99.00000
    上交所上市公司数量（家）,北京,2014,102.00000
    上交所上市公司数量（家）,天津,2013,19.00000
    上交所上市公司数量（家）,天津,2014,21.00000
    上交所上市公司数量（家）,河北,2013,18.00000
    上交所上市公司数量（家）,河北,2014,18.00000
    上交所上市公司数量（家）,山西,2013,18.00000
    上交所上市公司数量（家）,山西,2014,19.00000
    上交所上市公司数量（家）,内蒙古,2013,16.00000
    上交所上市公司数量（家）,内蒙古,2014,16.00000
    上交所上市公司数量（家）,辽宁,2013,14.00000
    上交所上市公司数量（家）,辽宁,2014,15.00000
    上交所上市公司数量（家）,吉林,2013,17.00000
    上交所上市公司数量（家）,吉林,2014,18.00000
    上交所上市公司数量（家）,黑龙江,2013,23.00000
