指标,地区,时间,数值
    全国上市公司数量（家）,北京,2021,411.00000
    全国上市公司数量（家）,北京,2022,440.00000
    全国上市公司数量（家）,天津,2021,63.00000
    全国上市公司数量（家）,天津,2022,68.00000
    全国上市公司数量（家）,河北,2021,66.00000
    全国上市公司数量（家）,河北,2022,69.00000
    全国上市公司数量（家）,山西,2021,40.00000
    全国上市公司数量（家）,山西,2022,38.00000
    全国上市公司数量（家）,内蒙古,2021,28.00000
    全国上市公司数量（家）,内蒙古,2022,25.00000
    全国上市公司数量（家）,辽宁,2021,50.00000
    全国上市公司数量（家）,辽宁,2022,54.00000
    全国上市公司数量（家）,吉林,2021,46.00000
    全国上市公司数量（家）,吉林,2022,47.00000
    全国上市公司数量（家）,黑龙江,2021,38.00000
    全国上市公司数量（家）,黑龙江,2022,40.00000
    全国上市公司数量（家）,上海,2021,385.00000
    全国上市公司数量（家）,上海,2022,413.00000
    全国上市公司数量（家）,江苏,2021,557.00000
    全国上市公司数量（家）,江苏,2022,609.00000
    全国上市公司数量（家）,浙江,2021,496.00000
    全国上市公司数量（家）,浙江,2022,531.00000
    全国上市公司数量（家）,安徽,2021,144.00000
    全国上市公司数量（家）,安徽,2022,154.00000
    全国上市公司数量（家）,福建,2021,99.00000
    全国上市公司数量（家）,福建,2022,104.00000
    全国上市公司数量（家）,江西,2021,65.00000
    全国上市公司数量（家）,江西,2022,76.00000
    全国上市公司数量（家）,山东,2021,207.00000
    全国上市公司数量（家）,山东,2022,217.00000
    全国上市公司数量（家）,河南,2021,95.00000
    全国上市公司数量（家）,河南,2022,98.00000
    全国上市公司数量（家）,湖北,2021,125.00000
    全国上市公司数量（家）,湖北,2022,133.00000
    全国上市公司数量（家）,湖南,2021,130.00000
    全国上市公司数量（家）,湖南,2022,134.00000
    全国上市公司数量（家）,广东,2021,383.00000
    全国上市公司数量（家）,广东,2022,415.00000
    全国上市公司数量（家）,广西,2021,38.00000
    全国上市公司数量（家）,广西,2022,39.00000
    全国上市公司数量（家）,海南,2021,34.00000
    全国上市公司数量（家）,海南,2022,28.00000
    全国上市公司数量（家）,重庆,2021,61.00000
    全国上市公司数量（家）,重庆,2022,66.00000
    全国上市公司数量（家）,四川,2021,152.00000
    全国上市公司数量（家）,四川,2022,161.00000
    全国上市公司数量（家）,贵州,2021,33.00000
    全国上市公司数量（家）,贵州,2022,35.00000
    全国上市公司数量（家）,云南,2021,40.00000
    全国上市公司数量（家）,云南,2022,40.00000
    全国上市公司数量（家）,西藏,2021,21.00000
    全国上市公司数量（家）,西藏,2022,22.00000
    全国上市公司数量（家）,陕西,2021,64.00000
    全国上市公司数量（家）,陕西,2022,72.00000
    全国上市公司数量（家）,甘肃,2021,33.00000
    全国上市公司数量（家）,甘肃,2022,36.00000
    全国上市公司数量（家）,青海,2021,11.00000
    全国上市公司数量（家）,青海,2022,11.00000
    全国上市公司数量（家）,宁夏,2021,15.00000
    全国上市公司数量（家）,宁夏,2022,14.00000
    全国上市公司数量（家）,新疆,2021,58.00000
    全国上市公司数量（家）,新疆,2022,59.00000
    全国上市公司数量（家）,深圳,2021,369.00000
    全国上市公司数量（家）,深圳,2022,396.00000
    全国上市公司数量（家）,大连,2021,29.00000
    全国上市公司数量（家）,大连,2022,29.00000
    全国上市公司数量（家）,宁波,2021,106.00000
    全国上市公司数量（家）,宁波,2022,112.00000
    全国上市公司数量（家）,厦门,2021,62.00000
    全国上市公司数量（家）,厦门,2022,64.00000
    全国上市公司数量（家）,青岛,2021,56.00000
    全国上市公司数量（家）,青岛,2022,60.00000
    上交所上市公司数量（家）,北京,2021,207.00000
    上交所上市公司数量（家）,北京,2022,223.00000
    上交所上市公司数量（家）,天津,2021,33.00000
    上交所上市公司数量（家）,天津,2022,37.00000
    上交所上市公司数量（家）,河北,2021,26.00000
    上交所上市公司数量（家）,河北,2022,26.00000
    上交所上市公司数量（家）,山西,2021,21.00000
    上交所上市公司数量（家）,山西,2022,21.00000
    上交所上市公司数量（家）,内蒙古,2021,17.00000
    上交所上市公司数量（家）,内蒙古,2022,15.00000
    上交所上市公司数量（家）,辽宁,2021,21.00000
    上交所上市公司数量（家）,辽宁,2022,24.00000
    上交所上市公司数量（家）,吉林,2021,18.00000
    上交所上市公司数量（家）,吉林,2022,18.00000
    上交所上市公司数量（家）,黑龙江,2021,26.00000
    上交所上市公司数量（家）,黑龙江,2022,27.00000
    上交所上市公司数量（家）,上海,2021,285.00000
    上交所上市公司数量（家）,上海,2022,304.00000
    上交所上市公司数量（家）,江苏,2021,272.00000
    上交所上市公司数量（家）,江苏,2022,302.00000
    上交所上市公司数量（家）,浙江,2021,233.00000
    上交所上市公司数量（家）,浙江,2022,246.00000
    上交所上市公司数量（家）,安徽,2021,67.00000
    上交所上市公司数量（家）,安徽,2022,72.00000
    上交所上市公司数量（家）,福建,2021,44.00000
    上交所上市公司数量（家）,福建,2022,45.00000
    上交所上市公司数量（家）,江西,2021,28.00000
    上交所上市公司数量（家）,江西,2022,31.00000
    上交所上市公司数量（家）,山东,2021,80.00000
    上交所上市公司数量（家）,山东,2022,84.00000
    上交所上市公司数量（家）,河南,2021,34.00000
    上交所上市公司数量（家）,河南,2022,35.00000
    上交所上市公司数量（家）,湖北,2021,52.00000
    上交所上市公司数量（家）,湖北,2022,55.00000
    上交所上市公司数量（家）,湖南,2021,43.00000
    上交所上市公司数量（家）,湖南,2022,45.00000
    上交所上市公司数量（家）,广东,2021,91.00000
    上交所上市公司数量（家）,广东,2022,99.00000
    上交所上市公司数量（家）,广西,2021,17.00000
    上交所上市公司数量（家）,广西,2022,17.00000
    上交所上市公司数量（家）,海南,2021,13.00000
    上交所上市公司数量（家）,海南,2022,10.00000
    上交所上市公司数量（家）,重庆,2021,31.00000
    上交所上市公司数量（家）,重庆,2022,34.00000
    上交所上市公司数量（家）,四川,2021,58.00000
    上交所上市公司数量（家）,四川,2022,62.00000
    上交所上市公司数量（家）,贵州,2021,17.00000
    上交所上市公司数量（家）,贵州,2022,19.00000
    上交所上市公司数量（家）,云南,2021,17.00000
    上交所上市公司数量（家）,云南,2022,16.00000
    上交所上市公司数量（家）,西藏,2021,9.00000
    上交所上市公司数量（家）,西藏,2022,9.00000
    上交所上市公司数量（家）,陕西,2021,33.00000
    上交所上市公司数量（家）,陕西,2022,37.00000
    上交所上市公司数量（家）,甘肃,2021,15.00000
    上交所上市公司数量（家）,甘肃,2022,16.00000
    上交所上市公司数量（家）,青海,2021,7.00000
    上交所上市公司数量（家）,青海,2022,7.00000
    上交所上市公司数量（家）,宁夏,2021,6.00000
    上交所上市公司数量（家）,宁夏,2022,5.00000
    上交所上市公司数量（家）,新疆,2021,31.00000
    上交所上市公司数量（家）,新疆,2022,28.00000
    上交所上市公司数量（家）,深圳,2021,52.00000
    上交所上市公司数量（家）,深圳,2022,63.00000
    上交所上市公司数量（家）,大连,2021,15.00000
    上交所上市公司数量（家）,大连,2022,16.00000
    上交所上市公司数量（家）,宁波,2021,63.00000
    上交所上市公司数量（家）,宁波,2022,67.00000
    上交所上市公司数量（家）,厦门,2021,24.00000
    上交所上市公司数量（家）,厦门,2022,23.00000
    上交所上市公司数量（家）,青岛,2021,26.00000
    上交所上市公司数量（家）,青岛,2022,28.00000
    深交所上市公司数量（家）,北京,2021,204.00000
    深交所上市公司数量（家）,北京,2022,217.00000
    深交所上市公司数量（家）,天津,2021,30.00000
    深交所上市公司数量（家）,天津,2022,31.00000
    深交所上市公司数量（家）,河北,2021,40.00000
    深交所上市公司数量（家）,河北,2022,43.00000
    深交所上市公司数量（家）,山西,2021,19.00000
    深交所上市公司数量（家）,山西,2022,17.00000
    深交所上市公司数量（家）,内蒙古,2021,11.00000
    深交所上市公司数量（家）,内蒙古,2022,10.00000
    深交所上市公司数量（家）,辽宁,2021,29.00000
    深交所上市公司数量（家）,辽宁,2022,30.00000
    深交所上市公司数量（家）,吉林,2021,28.00000
    深交所上市公司数量（家）,吉林,2022,29.00000
    深交所上市公司数量（家）,黑龙江,2021,12.00000
    深交所上市公司数量（家）,黑龙江,2022,13.00000
    深交所上市公司数量（家）,上海,2021,100.00000
    深交所上市公司数量（家）,上海,2022,109.00000
    深交所上市公司数量（家）,江苏,2021,285.00000
    深交所上市公司数量（家）,江苏,2022,307.00000
    深交所上市公司数量（家）,浙江,2021,263.00000
    深交所上市公司数量（家）,浙江,2022,285.00000
    深交所上市公司数量（家）,安徽,2021,77.00000
    深交所上市公司数量（家）,安徽,2022,82.00000
    深交所上市公司数量（家）,福建,2021,55.00000
    深交所上市公司数量（家）,福建,2022,59.00000
    深交所上市公司数量（家）,江西,2021,37.00000
    深交所上市公司数量（家）,江西,2022,45.00000
    深交所上市公司数量（家）,山东,2021,127.00000
    深交所上市公司数量（家）,山东,2022,133.00000
    深交所上市公司数量（家）,河南,2021,61.00000
    深交所上市公司数量（家）,河南,2022,63.00000
    深交所上市公司数量（家）,湖北,2021,73.00000
    深交所上市公司数量（家）,湖北,2022,78.00000
    深交所上市公司数量（家）,湖南,2021,87.00000
    深交所上市公司数量（家）,湖南,2022,89.00000
    深交所上市公司数量（家）,广东,2021,292.00000
    深交所上市公司数量（家）,广东,2022,316.00000
    深交所上市公司数量（家）,广西,2021,21.00000
    深交所上市公司数量（家）,广西,2022,22.00000
    深交所上市公司数量（家）,海南,2021,21.00000
    深交所上市公司数量（家）,海南,2022,18.00000
    深交所上市公司数量（家）,重庆,2021,30.00000
    深交所上市公司数量（家）,重庆,2022,32.00000
    深交所上市公司数量（家）,四川,2021,94.00000
    深交所上市公司数量（家）,四川,2022,99.00000
    深交所上市公司数量（家）,贵州,2021,16.00000
    深交所上市公司数量（家）,贵州,2022,16.00000
    深交所上市公司数量（家）,云南,2021,23.00000
    深交所上市公司数量（家）,云南,2022,24.00000
    深交所上市公司数量（家）,西藏,2021,12.00000
    深交所上市公司数量（家）,西藏,2022,13.00000
    深交所上市公司数量（家）,陕西,2021,31.00000
    深交所上市公司数量（家）,陕西,2022,35.00000
    深交所上市公司数量（家）,甘肃,2021,18.00000
    深交所上市公司数量（家）,甘肃,2022,20.00000
    深交所上市公司数量（家）,青海,2021,4.00000
    深交所上市公司数量（家）,青海,2022,4.00000
    深交所上市公司数量（家）,宁夏,2021,9.00000
    深交所上市公司数量（家）,宁夏,2022,9.00000
    深交所上市公司数量（家）,新疆,2021,27.00000
    深交所上市公司数量（家）,新疆,2022,31.00000
    深交所上市公司数量（家）,深圳,2021,317.00000
    深交所上市公司数量（家）,深圳,2022,333.00000
    深交所上市公司数量（家）,大连,2021,14.00000
    深交所上市公司数量（家）,大连,2022,13.00000
    深交所上市公司数量（家）,宁波,2021,43.00000
    深交所上市公司数量（家）,宁波,2022,45.00000
    深交所上市公司数量（家）,厦门,2021,38.00000
    深交所上市公司数量（家）,厦门,2022,41.00000
    深交所上市公司数量（家）,青岛,2021,30.00000
    深交所上市公司数量（家）,青岛,2022,32.00000
    上市公司总资产（亿元）,北京,2021,1948670.31000
    上市公司总资产（亿元）,北京,2022,2166725.14000
    上市公司总资产（亿元）,天津,2021,13225.91000
    上市公司总资产（亿元）,天津,2022,15230.48000
    上市公司总资产（亿元）,河北,2021,22086.07000
    上市公司总资产（亿元）,河北,2022,22364.61000
    上市公司总资产（亿元）,山西,2021,11262.74000
    上市公司总资产（亿元）,山西,2022,11857.50000
    上市公司总资产（亿元）,内蒙古,2021,7378.95000
    上市公司总资产（亿元）,内蒙古,2022,7794.13000
    上市公司总资产（亿元）,辽宁,2021,4768.59000
    上市公司总资产（亿元）,辽宁,2022,4949.49000
    上市公司总资产（亿元）,吉林,2021,5721.43000
    上市公司总资产（亿元）,吉林,2022,5657.72000
    上市公司总资产（亿元）,黑龙江,2021,8456.77000
    上市公司总资产（亿元）,黑龙江,2022,9039.01000
    上市公司总资产（亿元）,上海,2021,372768.72000
    上市公司总资产（亿元）,上海,2022,401206.80000
    上市公司总资产（亿元）,江苏,2021,119516.55000
    上市公司总资产（亿元）,江苏,2022,132945.86000
    上市公司总资产（亿元）,浙江,2021,85702.59000
    上市公司总资产（亿元）,浙江,2022,98061.58000
    上市公司总资产（亿元）,安徽,2021,18320.21000
    上市公司总资产（亿元）,安徽,2022,20636.30000
    上市公司总资产（亿元）,福建,2021,106160.69000
    上市公司总资产（亿元）,福建,2022,116699.03000
    上市公司总资产（亿元）,江西,2021,7611.65000
    上市公司总资产（亿元）,江西,2022,9682.18000
    上市公司总资产（亿元）,山东,2021,36623.43000
    上市公司总资产（亿元）,山东,2022,39477.92000
    上市公司总资产（亿元）,河南,2021,20163.99000
    上市公司总资产（亿元）,河南,2022,21859.75000
    上市公司总资产（亿元）,湖北,2021,19101.88000
    上市公司总资产（亿元）,湖北,2022,20530.74000
    上市公司总资产（亿元）,湖南,2021,22317.02000
    上市公司总资产（亿元）,湖南,2022,24740.94000
    上市公司总资产（亿元）,广东,2021,67130.02000
    上市公司总资产（亿元）,广东,2022,74471.42000
    上市公司总资产（亿元）,广西,2021,5479.78000
    上市公司总资产（亿元）,广西,2022,5623.99000
    上市公司总资产（亿元）,海南,2021,3654.97000
    上市公司总资产（亿元）,海南,2022,3613.23000
    上市公司总资产（亿元）,重庆,2021,33384.82000
    上市公司总资产（亿元）,重庆,2022,34733.71000
    上市公司总资产（亿元）,四川,2021,27022.30000
    上市公司总资产（亿元）,四川,2022,31447.94000
    上市公司总资产（亿元）,贵州,2021,12773.80000
    上市公司总资产（亿元）,贵州,2022,13666.92000
    上市公司总资产（亿元）,云南,2021,7381.43000
    上市公司总资产（亿元）,云南,2022,7836.19000
    上市公司总资产（亿元）,西藏,2021,1211.84000
    上市公司总资产（亿元）,西藏,2022,1340.16000
    上市公司总资产（亿元）,陕西,2021,15583.10000
    上市公司总资产（亿元）,陕西,2022,18317.78000
    上市公司总资产（亿元）,甘肃,2021,3135.21000
    上市公司总资产（亿元）,甘肃,2022,7739.77000
    上市公司总资产（亿元）,青海,2021,1399.17000
    上市公司总资产（亿元）,青海,2022,1602.28000
    上市公司总资产（亿元）,宁夏,2021,1062.13000
    上市公司总资产（亿元）,宁夏,2022,1280.92000
    上市公司总资产（亿元）,新疆,2021,29605.32000
    上市公司总资产（亿元）,新疆,2022,31821.21000
    上市公司总资产（亿元）,深圳,2021,352188.65000
    上市公司总资产（亿元）,深圳,2022,379556.71000
    上市公司总资产（亿元）,大连,2021,9995.22000
    上市公司总资产（亿元）,大连,2022,10392.96000
    上市公司总资产（亿元）,宁波,2021,30146.30000
    上市公司总资产（亿元）,宁波,2022,34938.24000
    上市公司总资产（亿元）,厦门,2021,14681.04000
    上市公司总资产（亿元）,厦门,2022,16498.55000
    上市公司总资产（亿元）,青岛,2021,15846.34000
    上市公司总资产（亿元）,青岛,2022,16584.62000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,北京,2021,224603.91000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,北京,2022,240992.13000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,天津,2021,5577.42000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,天津,2022,6998.40000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河北,2021,5907.04000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河北,2022,6187.19000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山西,2021,4564.40000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山西,2022,5094.83000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,内蒙古,2021,3358.39000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,内蒙古,2022,3601.83000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,辽宁,2021,2283.35000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,辽宁,2022,2364.20000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,吉林,2021,2172.84000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,吉林,2022,2165.63000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,黑龙江,2021,1871.46000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,黑龙江,2022,1997.03000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,上海,2021,55032.08000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,上海,2022,57476.78000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江苏,2021,25710.63000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江苏,2022,29139.38000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,浙江,2021,22766.16000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,浙江,2022,25228.60000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,安徽,2021,8283.98000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,安徽,2022,8922.43000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,福建,2021,12091.18000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,福建,2022,13770.88000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江西,2021,3322.79000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,江西,2022,4160.47000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山东,2021,12534.13000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,山东,2022,13748.63000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河南,2021,5772.33000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,河南,2022,6459.16000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖北,2021,6606.25000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖北,2022,7160.14000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖南,2021,6828.76000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,湖南,2022,7395.42000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广东,2021,20643.74000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广东,2022,22715.39000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广西,2021,1739.09000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,广西,2022,1761.30000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,海南,2021,989.87000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,海南,2022,913.86000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,重庆,2021,5471.89000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,重庆,2022,5657.46000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,四川,2021,8073.33000
    上市公司归属母公司股东净资产（2012年前为股东权益）（亿元）,四川,2022,9679.47000
