code,name,prov_code,city_code,county_code,prov_name,city_name,county_name,level,is_prov,is_city,is_county
130133,河北省石家庄市赵县,130000,130100,130133,河北省,河北省石家庄市,河北省石家庄市赵县,县级,0,0,1
130181,河北省石家庄市辛集市,130000,130100,130181,河北省,河北省石家庄市,河北省石家庄市辛集市,县级,0,0,1
130182,河北省石家庄市藁城市,130000,130100,130182,河北省,河北省石家庄市,河北省石家庄市藁城市,县级,0,0,1
130183,河北省石家庄市晋州市,130000,130100,130183,河北省,河北省石家庄市,河北省石家庄市晋州市,县级,0,0,1
130184,河北省石家庄市新乐市,130000,130100,130184,河北省,河北省石家庄市,河北省石家庄市新乐市,县级,0,0,1
130185,河北省石家庄市鹿泉市,130000,130100,130185,河北省,河北省石家庄市,河北省石家庄市鹿泉市,县级,0,0,1
130200,河北省唐山市,130000,130200,130200,河北省,河北省唐山市,河北省唐山市,市级,0,1,0
130201,河北省唐山市市辖区,130000,130200,130201,河北省,河北省唐山市,河北省唐山市市辖区,县级,0,0,1
130202,河北省唐山市路南区,130000,130200,130202,河北省,河北省唐山市,河北省唐山市路南区,县级,0,0,1
130203,河北省唐山市路北区,130000,130200,130203,河北省,河北省唐山市,河北省唐山市路北区,县级,0,0,1
130204,河北省唐山市古冶区,130000,130200,130204,河北省,河北省唐山市,河北省唐山市古冶区,县级,0,0,1
130205,河北省唐山市开平区,130000,130200,130205,河北省,河北省唐山市,河北省唐山市开平区,县级,0,0,1
130206,河北省唐山市新区,130000,130200,130206,河北省,河北省唐山市,河北省唐山市新区,县级,0,0,1
130221,河北省唐山市丰润县,130000,130200,130221,河北省,河北省唐山市,河北省唐山市丰润县,县级,0,0,1
130223,河北省唐山市滦县,130000,130200,130223,河北省,河北省唐山市,河北省唐山市滦县,县级,0,0,1
130224,河北省唐山市滦南县,130000,130200,130224,河北省,河北省唐山市,河北省唐山市滦南县,县级,0,0,1
130225,河北省唐山市乐亭县,130000,130200,130225,河北省,河北省唐山市,河北省唐山市乐亭县,县级,0,0,1
130227,河北省唐山市迁西县,130000,130200,130227,河北省,河北省唐山市,河北省唐山市迁西县,县级,0,0,1
130229,河北省唐山市玉田县,130000,130200,130229,河北省,河北省唐山市,河北省唐山市玉田县,县级,0,0,1
130230,河北省唐山市唐海县,130000,130200,130230,河北省,河北省唐山市,河北省唐山市唐海县,县级,0,0,1
130281,河北省唐山市遵化市,130000,130200,130281,河北省,河北省唐山市,河北省唐山市遵化市,县级,0,0,1
130282,河北省唐山市丰南市,130000,130200,130282,河北省,河北省唐山市,河北省唐山市丰南市,县级,0,0,1
130283,河北省唐山市迁安市,130000,130200,130283,河北省,河北省唐山市,河北省唐山市迁安市,县级,0,0,1
130300,河北省秦皇岛市秦皇岛市,130000,130300,130300,河北省,河北省秦皇岛市秦皇岛市,河北省秦皇岛市秦皇岛市,市级,0,1,0
130301,河北省秦皇岛市市辖区,130000,130300,130301,河北省,河北省秦皇岛市秦皇岛市,河北省秦皇岛市市辖区,县级,0,0,1
130302,河北省秦皇岛市海港区,130000,130300,130302,河北省,河北省秦皇岛市秦皇岛市,河北省秦皇岛市海港区,县级,0,0,1
130303,河北省秦皇岛市山海关区,130000,130300,130303,河北省,河北省秦皇岛市秦皇岛市,河北省秦皇岛市山海关区,县级,0,0,1
130304,河北省秦皇岛市北戴河区,130000,130300,130304,河北省,河北省秦皇岛市秦皇岛市,河北省秦皇岛市北戴河区,县级,0,0,1
130321,河北省秦皇岛市青龙满族自治县,130000,130300,130321,河北省,河北省秦皇岛市秦皇岛市,河北省秦皇岛市青龙满族自治县,县级,0,0,1
130322,河北省秦皇岛市昌黎县,130000,130300,130322,河北省,河北省秦皇岛市秦皇岛市,河北省秦皇岛市昌黎县,县级,0,0,1
